"ID,""ID_BATCH"",""ID_RUN_STAGING"",""ID_CLIENT"",""SOURCE_RUN_ID"",""ID_CONFIGURATION"",""VALUE_LEVEL_1"",""VALUE_LEVEL_2"",""VALUE_LEVEL_3"",""VALUE_LEVEL_4"",""VALUE_LEVEL_5"",""ML_BEST_MODEL"",""ML_CLASSIFICATION"",""ML_TYPE"",""ML_STATUS"",""SCP_BEST_MODEL"",""SCP_CLASSIFICATION"",""SCP_STATUS"",""SERIES_CLASSIFICATION"",""COMPARISON_STATUS"",""HAS_BASE_CANDIDATE"",""HAS_SCP_CALCULATED"",""HAS_ML_CALCULATED"",""HISTORY_M1"",""HISTORY_M2"",""HISTORY_M3"",""HISTORY_M4"",""HISTORY_M5"",""HISTORY_M6"",""SCP_FORECAST_M1"",""SCP_FORECAST_M2"",""SCP_FORECAST_M3"",""SCP_FORECAST_M4"",""SCP_FORECAST_M5"",""SCP_FORECAST_M6"",""ML_FORECAST_M1"",""ML_FORECAST_M2"",""ML_FORECAST_M3"",""ML_FORECAST_M4"",""ML_FORECAST_M5"",""ML_FORECAST_M6"",""SCP_SIGNED_ERROR_M1"",""SCP_SIGNED_ERROR_M2"",""SCP_SIGNED_ERROR_M3"",""SCP_SIGNED_ERROR_M4"",""SCP_SIGNED_ERROR_M5"",""SCP_SIGNED_ERROR_M6"",""ML_SIGNED_ERROR_M1"",""ML_SIGNED_ERROR_M2"",""ML_SIGNED_ERROR_M3"",""ML_SIGNED_ERROR_M4"",""ML_SIGNED_ERROR_M5"",""ML_SIGNED_ERROR_M6"",""SCP_ABS_ERROR_M1"",""SCP_ABS_ERROR_M2"",""SCP_ABS_ERROR_M3"",""SCP_ABS_ERROR_M4"",""SCP_ABS_ERROR_M5"",""SCP_ABS_ERROR_M6"",""ML_ABS_ERROR_M1"",""ML_ABS_ERROR_M2"",""ML_ABS_ERROR_M3"",""ML_ABS_ERROR_M4"",""ML_ABS_ERROR_M5"",""ML_ABS_ERROR_M6"",""SCP_SQUARED_ERROR_M1"",""SCP_SQUARED_ERROR_M2"",""SCP_SQUARED_ERROR_M3"",""SCP_SQUARED_ERROR_M4"",""SCP_SQUARED_ERROR_M5"",""SCP_SQUARED_ERROR_M6"",""ML_SQUARED_ERROR_M1"",""ML_SQUARED_ERROR_M2"",""ML_SQUARED_ERROR_M3"",""ML_SQUARED_ERROR_M4"",""ML_SQUARED_ERROR_M5"",""ML_SQUARED_ERROR_M6"",""POSITIVE_HISTORY_MONTH_COUNT_M1"",""POSITIVE_HISTORY_MONTH_COUNT_M2"",""POSITIVE_HISTORY_MONTH_COUNT_M3"",""POSITIVE_HISTORY_MONTH_COUNT_M4"",""POSITIVE_HISTORY_MONTH_COUNT_M5"",""POSITIVE_HISTORY_MONTH_COUNT_M6"",""SCP_MAE_M1"",""SCP_MAE_M2"",""SCP_MAE_M3"",""SCP_MAE_M4"",""SCP_MAE_M5"",""SCP_MAE_M6"",""ML_MAE_M1"",""ML_MAE_M2"",""ML_MAE_M3"",""ML_MAE_M4"",""ML_MAE_M5"",""ML_MAE_M6"",""SCP_RMSE_M1"",""SCP_RMSE_M2"",""SCP_RMSE_M3"",""SCP_RMSE_M4"",""SCP_RMSE_M5"",""SCP_RMSE_M6"",""ML_RMSE_M1"",""ML_RMSE_M2"",""ML_RMSE_M3"",""ML_RMSE_M4"",""ML_RMSE_M5"",""ML_RMSE_M6"",""SCP_WAPE_M1"",""SCP_WAPE_M2"",""SCP_WAPE_M3"",""SCP_WAPE_M4"",""SCP_WAPE_M5"",""SCP_WAPE_M6"",""ML_WAPE_M1"",""ML_WAPE_M2"",""ML_WAPE_M3"",""ML_WAPE_M4"",""ML_WAPE_M5"",""ML_WAPE_M6"",""SCP_BIAS_M1"",""SCP_BIAS_M2"",""SCP_BIAS_M3"",""SCP_BIAS_M4"",""SCP_BIAS_M5"",""SCP_BIAS_M6"",""ML_BIAS_M1"",""ML_BIAS_M2"",""ML_BIAS_M3"",""ML_BIAS_M4"",""ML_BIAS_M5"",""ML_BIAS_M6"",""WINNER_METHOD_M1"",""WINNER_METHOD_M2"",""WINNER_METHOD_M3"",""WINNER_METHOD_M4"",""WINNER_METHOD_M5"",""WINNER_METHOD_M6"",""WINNER_MODEL_M1"",""WINNER_MODEL_M2"",""WINNER_MODEL_M3"",""WINNER_MODEL_M4"",""WINNER_MODEL_M5"",""WINNER_MODEL_M6"",""FINALIST_METHOD_M1"",""FINALIST_METHOD_M2"",""FINALIST_METHOD_M3"",""FINALIST_METHOD_M4"",""FINALIST_METHOD_M5"",""FINALIST_METHOD_M6"",""FINALIST_MODEL_M1"",""FINALIST_MODEL_M2"",""FINALIST_MODEL_M3"",""FINALIST_MODEL_M4"",""FINALIST_MODEL_M5"",""FINALIST_MODEL_M6"",""WINNER_IMPROVEMENT_PCT_M1"",""WINNER_IMPROVEMENT_PCT_M2"",""WINNER_IMPROVEMENT_PCT_M3"",""WINNER_IMPROVEMENT_PCT_M4"",""WINNER_IMPROVEMENT_PCT_M5"",""WINNER_IMPROVEMENT_PCT_M6"",""TOTAL_HISTORY_OLDER_3M"",""SCP_TOTAL_FORECAST_OLDER_3M"",""ML_TOTAL_FORECAST_OLDER_3M"",""SCP_TOTAL_SIGNED_ERROR_OLDER_3M"",""ML_TOTAL_SIGNED_ERROR_OLDER_3M"",""SCP_TOTAL_ABS_ERROR_OLDER_3M"",""ML_TOTAL_ABS_ERROR_OLDER_3M"",""SCP_TOTAL_SQUARED_ERROR_OLDER_3M"",""ML_TOTAL_SQUARED_ERROR_OLDER_3M"",""POSITIVE_HISTORY_MONTH_COUNT_OLDER_3M"",""SCP_MAE_OLDER_3M"",""ML_MAE_OLDER_3M"",""SCP_RMSE_OLDER_3M"",""ML_RMSE_OLDER_3M"",""SCP_WAPE_OLDER_3M"",""ML_WAPE_OLDER_3M"",""SCP_BIAS_OLDER_3M"",""ML_BIAS_OLDER_3M"",""WINNER_METHOD_OLDER_3M"",""WINNER_MODEL_OLDER_3M"",""FINALIST_METHOD_OLDER_3M"",""FINALIST_MODEL_OLDER_3M"",""WINNER_IMPROVEMENT_PCT_OLDER_3M"",""TOTAL_HISTORY_RECENT_3M"",""SCP_TOTAL_FORECAST_RECENT_3M"",""ML_TOTAL_FORECAST_RECENT_3M"",""SCP_TOTAL_SIGNED_ERROR_RECENT_3M"",""ML_TOTAL_SIGNED_ERROR_RECENT_3M"",""SCP_TOTAL_ABS_ERROR_RECENT_3M"",""ML_TOTAL_ABS_ERROR_RECENT_3M"",""SCP_TOTAL_SQUARED_ERROR_RECENT_3M"",""ML_TOTAL_SQUARED_ERROR_RECENT_3M"",""POSITIVE_HISTORY_MONTH_COUNT_RECENT_3M"",""SCP_MAE_RECENT_3M"",""ML_MAE_RECENT_3M"",""SCP_RMSE_RECENT_3M"",""ML_RMSE_RECENT_3M"",""SCP_WAPE_RECENT_3M"",""ML_WAPE_RECENT_3M"",""SCP_BIAS_RECENT_3M"",""ML_BIAS_RECENT_3M"",""WINNER_METHOD_RECENT_3M"",""WINNER_MODEL_RECENT_3M"",""FINALIST_METHOD_RECENT_3M"",""FINALIST_MODEL_RECENT_3M"",""WINNER_IMPROVEMENT_PCT_RECENT_3M"",""TOTAL_HISTORY_6M"",""SCP_TOTAL_FORECAST_6M"",""ML_TOTAL_FORECAST_6M"",""SCP_TOTAL_SIGNED_ERROR_6M"",""ML_TOTAL_SIGNED_ERROR_6M"",""SCP_TOTAL_ABS_ERROR_6M"",""ML_TOTAL_ABS_ERROR_6M"",""SCP_TOTAL_SQUARED_ERROR_6M"",""ML_TOTAL_SQUARED_ERROR_6M"",""POSITIVE_HISTORY_MONTH_COUNT_6M"",""SCP_MAE_6M"",""ML_MAE_6M"",""SCP_RMSE_6M"",""ML_RMSE_6M"",""SCP_WAPE_6M"",""ML_WAPE_6M"",""SCP_BIAS_6M"",""ML_BIAS_6M"",""WINNER_METHOD_6M"",""WINNER_MODEL_6M"",""FINALIST_METHOD_6M"",""FINALIST_MODEL_6M"",""WINNER_IMPROVEMENT_PCT_6M"",""COPIED_AT"",""HAS_ML_EXCLUDED"",""ML_EXCLUSION_REASON"",""SCP_NO_OUTPUT_REASON"""
"21958,66,66,10592,1,8,BOLSA BASURA PROFESIONALES,""75"",""HIJOS DE JUAN PUJANTE, S.A."",José Mateos-Aparicio Martinez,,,,,,preserve current forecast,preserve current forecast,success,,NOT_COMPARABLE_MISSING_SCP_AND_ML,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-14 13:03:02.206,1,MissingHistory,NoForecastRowsMaterialized"
"21959,66,66,10592,1,22,BOLSA BASURA PROFESIONALES,""77"",FLORETTE MURCIA S.L.U.,José Mateos-Aparicio Martinez,,,,,,preserve current forecast,preserve current forecast,success,,NOT_COMPARABLE_MISSING_SCP_AND_ML,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-14 13:03:02.206,1,MissingHistory,NoForecastRowsMaterialized"
"21960,66,66,10592,1,107,CONSUMIBLES DOMESTICOS,""285"",LIDER ALIMENT,Enrique Malonda Escriva,,HistoricAverage,smooth_insuficient,smooth_insuficient_insuficient,insuficient,x11 seasonal,x11 seasonal,success,smooth_insuficient,COMPARABLE,1,1,1,0.0,864.0,432.0,432.0,432.0,144.0,554.0,0.0,0.0,436.0,0.0,0.0,420.0,421.0,420.0,443.0,0.0,0.0,554.0,-864.0,-432.0,4.0,-432.0,-144.0,420.0,-443.0,-12.0,11.0,-432.0,-144.0,554.0,864.0,432.0,4.0,432.0,144.0,420.0,443.0,12.0,11.0,432.0,144.0,306916.0,746496.0,186624.0,16.0,186624.0,20736.0,176400.0,196249.0,144.0,121.0,186624.0,20736.0,0,1,1,1,1,1,,864.0,432.0,4.0,432.0,144.0,,443.0,12.0,11.0,432.0,144.0,,864.0,432.0,4.0,432.0,144.0,,443.0,12.0,11.0,432.0,144.0,,1.0,1.0,0.009259259259259259,1.0,1.0,,0.5127314814814815,0.027777777777777776,0.02546296296296296,1.0,1.0,,-1.0,-1.0,0.009259259259259259,-1.0,-1.0,,-0.5127314814814815,-0.027777777777777776,0.02546296296296296,-1.0,-1.0,,ML,ML,SCP,TIE,TIE,,HistoricAverage,HistoricAverage,x11 seasonal,,,,SCP,SCP,ML,,,,x11 seasonal,x11 seasonal,HistoricAverage,,,,48.72685185185185,97.22222222222221,63.63636363636363,0.0,0.0,1008.0,436.0,443.0,-572.0,-565.0,580.0,587.0,207376.0,207481.0,3,193.33333333333334,195.66666666666666,262.9169704171515,262.98352293125384,0.5753968253968254,0.5823412698412699,-0.5674603174603174,-0.560515873015873,SCP,x11 seasonal,ML,HistoricAverage,1.1925042589437966,1296.0,554.0,1261.0,-742.0,-35.0,1850.0,875.0,1240036.0,372793.0,2,925.0,437.5,787.4122173296525,431.7366095202027,1.4274691358024691,0.6751543209876543,-0.5725308641975309,-0.02700617283950617,ML,HistoricAverage,SCP,x11 seasonal,52.70270270270271,2304.0,990.0,1704.0,-1314.0,-600.0,2430.0,1462.0,1447412.0,580274.0,5,486.0,292.4,538.0356865487641,340.6681669895208,1.0546875,0.6345486111111112,-0.5703125,-0.2604166666666667,ML,HistoricAverage,SCP,x11 seasonal,39.83539094650205,2026-07-14 13:03:02.206,0,,"
"21961,66,66,10592,1,122,CONSUMIBLES DOMESTICOS,""286"",HNOS MARTIN,Enrique Malonda Escriva,,,,,,preserve current forecast,preserve current forecast,success,,NOT_COMPARABLE_MISSING_SCP_AND_ML,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-14 13:03:02.206,1,MissingHistory,NoForecastRowsMaterialized"
"21962,66,66,10592,1,189,CONSUMIBLES DOMESTICOS,""304"",""IFA RETAIL, S.A."",Enrique Malonda Escriva,,AutoTheta,smooth_insuficient,smooth_insuficient_insuficient,insuficient,x11 seasonal,x11 seasonal,success,smooth_insuficient,COMPARABLE,1,1,1,3520.0,5280.0,5600.0,6720.0,7420.0,10080.0,6690.0,0.0,0.0,5062.0,0.0,0.0,7159.0,7039.0,6919.0,4887.0,0.0,0.0,3170.0,-5280.0,-5600.0,-1658.0,-7420.0,-10080.0,3639.0,1759.0,1319.0,-1833.0,-7420.0,-10080.0,3170.0,5280.0,5600.0,1658.0,7420.0,10080.0,3639.0,1759.0,1319.0,1833.0,7420.0,10080.0,10048900,27878400,31360000,2748964.0,55056400,101606400,13242321,3094081.0,1739761.0,3359889.0,55056400,101606400,1,1,1,1,1,1,3170.0,5280.0,5600.0,1658.0,7420.0,10080.0,3639.0,1759.0,1319.0,1833.0,7420.0,10080.0,3170.0,5280.0,5600.0,1658.0,7420.0,10080.0,3639.0,1759.0,1319.0,1833.0,7420.0,10080.0,0.9005681818181818,1.0,1.0,0.2467261904761905,1.0,1.0,1.033806818181818,0.3331439393939394,0.2355357142857143,0.2727678571428571,1.0,1.0,0.9005681818181818,-1.0,-1.0,-0.2467261904761905,-1.0,-1.0,1.033806818181818,0.3331439393939394,0.2355357142857143,-0.2727678571428571,-1.0,-1.0,SCP,ML,ML,SCP,TIE,TIE,x11 seasonal,AutoTheta,AutoTheta,x11 seasonal,,,ML,SCP,SCP,ML,,,AutoTheta,x11 seasonal,x11 seasonal,AutoTheta,,,12.888156086837038,66.68560606060606,76.44642857142857,9.547190398254216,0.0,0.0,24220.0,5062.0,4887.0,-19158.0,-19333.0,19158.0,19333.0,159411764,160022689,3,6386.0,6444.333333333333,7289.530483279885,7303.485218259385,0.7909991742361685,0.7982246077621801,-0.7909991742361685,-0.7982246077621801,SCP,x11 seasonal,ML,AutoTheta,0.905188020483113,14400.0,6690.0,21117.0,-7710.0,6717.0,14050.0,6717.0,69287300,18076163,3,4683.333333333333,2239.0,4805.805516941637,2454.666508238271,0.9756944444444444,0.4664583333333333,-0.5354166666666667,0.4664583333333333,ML,AutoTheta,SCP,x11 seasonal,52.19217081850533,38620.0,11752.0,26004.0,-26868.0,-12616.0,33208.0,26050.0,228699064,178098852,6,5534.666666666667,4341.666666666667,6173.857033222154,5448.22374724093,0.8598653547384775,0.6745209735888141,-0.6957017089590886,-0.3266701191092698,ML,AutoTheta,SCP,x11 seasonal,21.55504697663213,2026-07-14 13:03:02.206,0,,"
"21963,66,66,10592,1,274,CONSUMIBLES DOMESTICOS,""2681"",JUAN FORNES - SUPERMERCADOS MAS Y MAS,Enrique Malonda Escriva,,,,,,preserve current forecast,preserve current forecast,success,,NOT_COMPARABLE_MISSING_SCP_AND_ML,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-14 13:03:02.206,1,MissingHistory,NoForecastRowsMaterialized"
"21964,66,66,10592,1,341,CONSUMIBLES DOMESTICOS,""2740"",""IFA RETAIL, S.A."",Enrique Malonda Escriva,,HistoricAverage,erratic_insuficient,erratic_insuficient_insuficient,insuficient,x11 seasonal,x11 seasonal,success,erratic_insuficient,COMPARABLE,1,1,1,1344.0,5792.0,3584.0,2880.0,3136.0,896.0,4308.0,0.0,0.0,1292.0,0.0,0.0,2759.0,2759.0,2759.0,2310.0,0.0,0.0,2964.0,-5792.0,-3584.0,-1588.0,-3136.0,-896.0,1415.0,-3033.0,-825.0,-570.0,-3136.0,-896.0,2964.0,5792.0,3584.0,1588.0,3136.0,896.0,1415.0,3033.0,825.0,570.0,3136.0,896.0,8785296.0,33547264,12845056,2521744.0,9834496.0,802816.0,2002225.0,9199089.0,680625.0,324900.0,9834496.0,802816.0,1,1,1,1,1,1,2964.0,5792.0,3584.0,1588.0,3136.0,896.0,1415.0,3033.0,825.0,570.0,3136.0,896.0,2964.0,5792.0,3584.0,1588.0,3136.0,896.0,1415.0,3033.0,825.0,570.0,3136.0,896.0,2.205357142857143,1.0,1.0,0.5513888888888889,1.0,1.0,1.052827380952381,0.5236533149171271,0.23018973214285715,0.19791666666666666,1.0,1.0,2.205357142857143,-1.0,-1.0,-0.5513888888888889,-1.0,-1.0,1.052827380952381,-0.5236533149171271,-0.23018973214285715,-0.19791666666666666,-1.0,-1.0,ML,ML,ML,ML,TIE,TIE,HistoricAverage,HistoricAverage,HistoricAverage,HistoricAverage,,,SCP,SCP,SCP,SCP,,,x11 seasonal,x11 seasonal,x11 seasonal,x11 seasonal,,,52.26045883940621,47.63466850828729,76.98102678571428,64.10579345088162,0.0,0.0,6912.0,1292.0,2310.0,-5620.0,-4602.0,5620.0,4602.0,13159056,10962212,3,1873.3333333333333,1534.0,2094.361955345828,1911.5623627458945,0.8130787037037037,0.6657986111111112,-0.8130787037037037,-0.6657986111111112,ML,HistoricAverage,SCP,x11 seasonal,18.113879003558715,10720.0,4308.0,8277.0,-6412.0,-2443.0,12340.0,5273.0,55177616,11881939,3,4113.333333333333,1757.6666666666667,4288.65231356736,1990.1372649476552,1.1511194029850746,0.49188432835820894,-0.5981343283582089,-0.2278917910447761,ML,HistoricAverage,SCP,x11 seasonal,57.269043760129655,17632.0,5600.0,10587.0,-12032.0,-7045.0,17960.0,9875.0,68336672,22844151,6,2993.3333333333335,1645.8333333333333,3374.8252300427844,1951.245371551205,1.0186025408348458,0.5600612522686026,-0.6823956442831216,-0.3995576225045372,ML,HistoricAverage,SCP,x11 seasonal,45.016703786191535,2026-07-14 13:03:02.206,0,,"
"21965,66,66,10592,1,358,CONSUMIBLES DOMESTICOS,""2743"",VEGALSA,Enrique Malonda Escriva,,TSB,intermittent_insuficient,intermittent_insuficient_insuficient,insuficient,seasonal discrete,seasonal discrete,success,intermittent_insuficient,COMPARABLE,1,1,1,792.0,528.0,924.0,792.0,660.0,396.0,810.0,0.0,0.0,0.0,0.0,0.0,703.0,1406.0,0.0,770.0,0.0,0.0,18.0,-528.0,-924.0,-792.0,-660.0,-396.0,-89.0,878.0,-924.0,-22.0,-660.0,-396.0,18.0,528.0,924.0,792.0,660.0,396.0,89.0,878.0,924.0,22.0,660.0,396.0,324.0,278784.0,853776.0,627264.0,435600.0,156816.0,7921.0,770884.0,853776.0,484.0,435600.0,156816.0,1,1,1,1,1,1,18.0,528.0,924.0,792.0,660.0,396.0,89.0,878.0,924.0,22.0,660.0,396.0,18.0,528.0,924.0,792.0,660.0,396.0,89.0,878.0,924.0,22.0,660.0,396.0,0.022727272727272728,1.0,1.0,1.0,1.0,1.0,0.11237373737373738,1.6628787878787878,1.0,0.027777777777777776,1.0,1.0,0.022727272727272728,-1.0,-1.0,-1.0,-1.0,-1.0,-0.11237373737373738,1.6628787878787878,-1.0,-0.027777777777777776,-1.0,-1.0,SCP,SCP,TIE,ML,TIE,TIE,seasonal discrete,seasonal discrete,,TSB,,,ML,ML,,SCP,,,TSB,TSB,,seasonal discrete,,,79.7752808988764,39.863325740318906,0.0,97.22222222222221,0.0,0.0,1848.0,0.0,770.0,-1848.0,-1078.0,1848.0,1078.0,1219680.0,592900.0,3,616.0,359.3333333333333,637.6205768323352,444.55970727601186,1.0,0.5833333333333334,-1.0,-0.5833333333333334,ML,TSB,SCP,seasonal discrete,41.666666666666664,2244.0,810.0,2109.0,-1434.0,-135.0,1470.0,1891.0,1132884.0,1632581.0,3,490.0,630.3333333333334,614.5144424665705,737.6948330215324,0.6550802139037433,0.8426916221033868,-0.6390374331550802,-0.06016042780748663,SCP,seasonal discrete,ML,TSB,22.26335272342676,4092.0,810.0,2879.0,-3282.0,-1213.0,3318.0,2969.0,2352564.0,2225481.0,6,553.0,494.8333333333333,626.1740971966183,609.0266825024993,0.8108504398826979,0.7255620723362659,-0.8020527859237536,-0.29643206256109483,ML,TSB,SCP,seasonal discrete,10.518384569017472,2026-07-14 13:03:02.206,0,,NoForecastRowsMaterialized"
"21966,66,66,10592,1,390,CONSUMIBLES DOMESTICOS,""2758"",CASALMA S.L,Enrique Malonda Escriva,,SeasonalNaive,intermittent_insuficient,intermittent_insuficient_insuficient,insuficient,seasonal discrete,seasonal discrete,success,intermittent_insuficient,COMPARABLE,1,1,1,180.0,0.0,360.0,180.0,180.0,0.0,180.0,0.0,0.0,180.0,0.0,0.0,180.0,0.0,0.0,180.0,0.0,0.0,0.0,0.0,-360.0,0.0,-180.0,0.0,0.0,0.0,-360.0,0.0,-180.0,0.0,0.0,0.0,360.0,0.0,180.0,0.0,0.0,0.0,360.0,0.0,180.0,0.0,0.0,0.0,129600.0,0.0,32400.0,0.0,0.0,0.0,129600.0,0.0,32400.0,0.0,1,0,1,1,1,0,0.0,,360.0,0.0,180.0,,0.0,,360.0,0.0,180.0,,0.0,,360.0,0.0,180.0,,0.0,,360.0,0.0,180.0,,0.0,,1.0,0.0,1.0,,0.0,,1.0,0.0,1.0,,0.0,,-1.0,0.0,-1.0,,0.0,,-1.0,0.0,-1.0,,TIE,,TIE,TIE,TIE,,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,,360.0,180.0,180.0,-180.0,-180.0,180.0,180.0,32400.0,32400.0,2,90.0,90.0,127.27922061357856,127.27922061357856,0.5,0.5,-0.5,-0.5,TIE,,,,0.0,540.0,180.0,180.0,-360.0,-360.0,360.0,360.0,129600.0,129600.0,2,180.0,180.0,254.55844122715712,254.55844122715712,0.6666666666666666,0.6666666666666666,-0.6666666666666666,-0.6666666666666666,TIE,,,,0.0,900.0,360.0,360.0,-540.0,-540.0,540.0,540.0,162000.0,162000.0,4,135.0,135.0,201.24611797498108,201.24611797498108,0.6,0.6,-0.6,-0.6,TIE,,,,0.0,2026-07-14 13:03:02.206,0,,"
"21967,66,66,10592,1,6,BOLSA BASURA PROFESIONALES,""75"",FLORETTE MURCIA S.L.U.,José Mateos-Aparicio Martinez,,,,,,preserve current forecast,preserve current forecast,success,,NOT_COMPARABLE_MISSING_SCP_AND_ML,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-14 13:03:02.206,1,MissingHistory,NoForecastRowsMaterialized"
