"ID,""ID_BATCH"",""ID_RUN_STAGING"",""ID_CLIENT"",""SOURCE_RUN_ID"",""ID_CONFIGURATION"",""VALUE_LEVEL_1"",""VALUE_LEVEL_2"",""VALUE_LEVEL_3"",""VALUE_LEVEL_4"",""VALUE_LEVEL_5"",""ML_BEST_MODEL"",""ML_CLASSIFICATION"",""ML_TYPE"",""ML_STATUS"",""SCP_BEST_MODEL"",""SCP_CLASSIFICATION"",""SCP_STATUS"",""SERIES_CLASSIFICATION"",""COMPARISON_STATUS"",""HAS_BASE_CANDIDATE"",""HAS_SCP_CALCULATED"",""HAS_ML_CALCULATED"",""HISTORY_M1"",""HISTORY_M2"",""HISTORY_M3"",""HISTORY_M4"",""HISTORY_M5"",""HISTORY_M6"",""SCP_FORECAST_M1"",""SCP_FORECAST_M2"",""SCP_FORECAST_M3"",""SCP_FORECAST_M4"",""SCP_FORECAST_M5"",""SCP_FORECAST_M6"",""ML_FORECAST_M1"",""ML_FORECAST_M2"",""ML_FORECAST_M3"",""ML_FORECAST_M4"",""ML_FORECAST_M5"",""ML_FORECAST_M6"",""SCP_SIGNED_ERROR_M1"",""SCP_SIGNED_ERROR_M2"",""SCP_SIGNED_ERROR_M3"",""SCP_SIGNED_ERROR_M4"",""SCP_SIGNED_ERROR_M5"",""SCP_SIGNED_ERROR_M6"",""ML_SIGNED_ERROR_M1"",""ML_SIGNED_ERROR_M2"",""ML_SIGNED_ERROR_M3"",""ML_SIGNED_ERROR_M4"",""ML_SIGNED_ERROR_M5"",""ML_SIGNED_ERROR_M6"",""SCP_ABS_ERROR_M1"",""SCP_ABS_ERROR_M2"",""SCP_ABS_ERROR_M3"",""SCP_ABS_ERROR_M4"",""SCP_ABS_ERROR_M5"",""SCP_ABS_ERROR_M6"",""ML_ABS_ERROR_M1"",""ML_ABS_ERROR_M2"",""ML_ABS_ERROR_M3"",""ML_ABS_ERROR_M4"",""ML_ABS_ERROR_M5"",""ML_ABS_ERROR_M6"",""SCP_SQUARED_ERROR_M1"",""SCP_SQUARED_ERROR_M2"",""SCP_SQUARED_ERROR_M3"",""SCP_SQUARED_ERROR_M4"",""SCP_SQUARED_ERROR_M5"",""SCP_SQUARED_ERROR_M6"",""ML_SQUARED_ERROR_M1"",""ML_SQUARED_ERROR_M2"",""ML_SQUARED_ERROR_M3"",""ML_SQUARED_ERROR_M4"",""ML_SQUARED_ERROR_M5"",""ML_SQUARED_ERROR_M6"",""POSITIVE_HISTORY_MONTH_COUNT_M1"",""POSITIVE_HISTORY_MONTH_COUNT_M2"",""POSITIVE_HISTORY_MONTH_COUNT_M3"",""POSITIVE_HISTORY_MONTH_COUNT_M4"",""POSITIVE_HISTORY_MONTH_COUNT_M5"",""POSITIVE_HISTORY_MONTH_COUNT_M6"",""SCP_MAE_M1"",""SCP_MAE_M2"",""SCP_MAE_M3"",""SCP_MAE_M4"",""SCP_MAE_M5"",""SCP_MAE_M6"",""ML_MAE_M1"",""ML_MAE_M2"",""ML_MAE_M3"",""ML_MAE_M4"",""ML_MAE_M5"",""ML_MAE_M6"",""SCP_RMSE_M1"",""SCP_RMSE_M2"",""SCP_RMSE_M3"",""SCP_RMSE_M4"",""SCP_RMSE_M5"",""SCP_RMSE_M6"",""ML_RMSE_M1"",""ML_RMSE_M2"",""ML_RMSE_M3"",""ML_RMSE_M4"",""ML_RMSE_M5"",""ML_RMSE_M6"",""SCP_WAPE_M1"",""SCP_WAPE_M2"",""SCP_WAPE_M3"",""SCP_WAPE_M4"",""SCP_WAPE_M5"",""SCP_WAPE_M6"",""ML_WAPE_M1"",""ML_WAPE_M2"",""ML_WAPE_M3"",""ML_WAPE_M4"",""ML_WAPE_M5"",""ML_WAPE_M6"",""SCP_BIAS_M1"",""SCP_BIAS_M2"",""SCP_BIAS_M3"",""SCP_BIAS_M4"",""SCP_BIAS_M5"",""SCP_BIAS_M6"",""ML_BIAS_M1"",""ML_BIAS_M2"",""ML_BIAS_M3"",""ML_BIAS_M4"",""ML_BIAS_M5"",""ML_BIAS_M6"",""WINNER_METHOD_M1"",""WINNER_METHOD_M2"",""WINNER_METHOD_M3"",""WINNER_METHOD_M4"",""WINNER_METHOD_M5"",""WINNER_METHOD_M6"",""WINNER_MODEL_M1"",""WINNER_MODEL_M2"",""WINNER_MODEL_M3"",""WINNER_MODEL_M4"",""WINNER_MODEL_M5"",""WINNER_MODEL_M6"",""FINALIST_METHOD_M1"",""FINALIST_METHOD_M2"",""FINALIST_METHOD_M3"",""FINALIST_METHOD_M4"",""FINALIST_METHOD_M5"",""FINALIST_METHOD_M6"",""FINALIST_MODEL_M1"",""FINALIST_MODEL_M2"",""FINALIST_MODEL_M3"",""FINALIST_MODEL_M4"",""FINALIST_MODEL_M5"",""FINALIST_MODEL_M6"",""WINNER_IMPROVEMENT_PCT_M1"",""WINNER_IMPROVEMENT_PCT_M2"",""WINNER_IMPROVEMENT_PCT_M3"",""WINNER_IMPROVEMENT_PCT_M4"",""WINNER_IMPROVEMENT_PCT_M5"",""WINNER_IMPROVEMENT_PCT_M6"",""TOTAL_HISTORY_OLDER_3M"",""SCP_TOTAL_FORECAST_OLDER_3M"",""ML_TOTAL_FORECAST_OLDER_3M"",""SCP_TOTAL_SIGNED_ERROR_OLDER_3M"",""ML_TOTAL_SIGNED_ERROR_OLDER_3M"",""SCP_TOTAL_ABS_ERROR_OLDER_3M"",""ML_TOTAL_ABS_ERROR_OLDER_3M"",""SCP_TOTAL_SQUARED_ERROR_OLDER_3M"",""ML_TOTAL_SQUARED_ERROR_OLDER_3M"",""POSITIVE_HISTORY_MONTH_COUNT_OLDER_3M"",""SCP_MAE_OLDER_3M"",""ML_MAE_OLDER_3M"",""SCP_RMSE_OLDER_3M"",""ML_RMSE_OLDER_3M"",""SCP_WAPE_OLDER_3M"",""ML_WAPE_OLDER_3M"",""SCP_BIAS_OLDER_3M"",""ML_BIAS_OLDER_3M"",""WINNER_METHOD_OLDER_3M"",""WINNER_MODEL_OLDER_3M"",""FINALIST_METHOD_OLDER_3M"",""FINALIST_MODEL_OLDER_3M"",""WINNER_IMPROVEMENT_PCT_OLDER_3M"",""TOTAL_HISTORY_RECENT_3M"",""SCP_TOTAL_FORECAST_RECENT_3M"",""ML_TOTAL_FORECAST_RECENT_3M"",""SCP_TOTAL_SIGNED_ERROR_RECENT_3M"",""ML_TOTAL_SIGNED_ERROR_RECENT_3M"",""SCP_TOTAL_ABS_ERROR_RECENT_3M"",""ML_TOTAL_ABS_ERROR_RECENT_3M"",""SCP_TOTAL_SQUARED_ERROR_RECENT_3M"",""ML_TOTAL_SQUARED_ERROR_RECENT_3M"",""POSITIVE_HISTORY_MONTH_COUNT_RECENT_3M"",""SCP_MAE_RECENT_3M"",""ML_MAE_RECENT_3M"",""SCP_RMSE_RECENT_3M"",""ML_RMSE_RECENT_3M"",""SCP_WAPE_RECENT_3M"",""ML_WAPE_RECENT_3M"",""SCP_BIAS_RECENT_3M"",""ML_BIAS_RECENT_3M"",""WINNER_METHOD_RECENT_3M"",""WINNER_MODEL_RECENT_3M"",""FINALIST_METHOD_RECENT_3M"",""FINALIST_MODEL_RECENT_3M"",""WINNER_IMPROVEMENT_PCT_RECENT_3M"",""TOTAL_HISTORY_6M"",""SCP_TOTAL_FORECAST_6M"",""ML_TOTAL_FORECAST_6M"",""SCP_TOTAL_SIGNED_ERROR_6M"",""ML_TOTAL_SIGNED_ERROR_6M"",""SCP_TOTAL_ABS_ERROR_6M"",""ML_TOTAL_ABS_ERROR_6M"",""SCP_TOTAL_SQUARED_ERROR_6M"",""ML_TOTAL_SQUARED_ERROR_6M"",""POSITIVE_HISTORY_MONTH_COUNT_6M"",""SCP_MAE_6M"",""ML_MAE_6M"",""SCP_RMSE_6M"",""ML_RMSE_6M"",""SCP_WAPE_6M"",""ML_WAPE_6M"",""SCP_BIAS_6M"",""ML_BIAS_6M"",""WINNER_METHOD_6M"",""WINNER_MODEL_6M"",""FINALIST_METHOD_6M"",""FINALIST_MODEL_6M"",""WINNER_IMPROVEMENT_PCT_6M"",""COPIED_AT"",""HAS_ML_EXCLUDED"",""ML_EXCLUSION_REASON"",""SCP_NO_OUTPUT_REASON"""
"22742,68,67,10246,1,181,Contra Pedido,Producto terminado,ITLV,""7856"",""BORGES AGRICULTURAL INDUSTRIAL EDIBLE OILS, S.A.U."",HistoricAverage,intermittent_acceptable,intermittent_acceptable_acceptable,acceptable,copy last year,copy last year,success,intermittent_acceptable,COMPARABLE,1,1,1,0.0,0.0,0.0,576.0,0.0,0.0,0.0,0.0,0.0,864.0,0.0,0.0,0.0,193.0,194.0,488.0,0.0,244.0,0.0,0.0,0.0,288.0,0.0,0.0,0.0,193.0,194.0,-88.0,0.0,244.0,0.0,0.0,0.0,288.0,0.0,0.0,0.0,193.0,194.0,88.0,0.0,244.0,0.0,0.0,0.0,82944.0,0.0,0.0,0.0,37249.0,37636.0,7744.0,0.0,59536.0,0,0,0,1,0,0,,,,288.0,,,,,,88.0,,,,,,288.0,,,,,,88.0,,,,,,0.5,,,,,,0.1527777777777778,,,,,,0.5,,,,,,-0.1527777777777778,,,,,,ML,,,,,,HistoricAverage,,,,,,SCP,,,,,,copy last year,,,,,,69.44444444444444,,,576.0,864.0,732.0,288.0,156.0,288.0,332.0,82944.0,67280.0,1,288.0,332.0,288.0,259.3838853899756,0.5,0.5763888888888888,0.5,0.2708333333333333,SCP,copy last year,ML,HistoricAverage,13.253012048192764,0.0,0.0,387.0,0.0,387.0,0.0,387.0,0.0,74885.0,0,,,,,,,,,,,,,,576.0,864.0,1119.0,288.0,543.0,288.0,719.0,82944.0,142165.0,1,288.0,719.0,288.0,377.04774233510534,0.5,1.2482638888888888,0.5,0.9427083333333334,SCP,copy last year,ML,HistoricAverage,59.944367176634216,2026-07-17 15:35:55.648,0,,NoForecastRowsMaterialized"
"22743,68,67,10246,1,182,Contra Pedido,Producto terminado,KRASDALE,""858"",BELL CARTER FOODS LLC,MovingAverage3M,intermittent_acceptable,intermittent_acceptable_acceptable,acceptable,copy last year,copy last year,success,intermittent_acceptable,COMPARABLE,1,1,1,56.0,74.0,124.0,0.0,0.0,0.0,156.0,183.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,28.0,28.0,100.0,109.0,-124.0,0.0,0.0,0.0,-56.0,-74.0,-124.0,29.0,28.0,28.0,100.0,109.0,124.0,0.0,0.0,0.0,56.0,74.0,124.0,29.0,28.0,28.0,10000.0,11881.0,15376.0,0.0,0.0,0.0,3136.0,5476.0,15376.0,841.0,784.0,784.0,1,1,1,0,0,0,100.0,109.0,124.0,,,,56.0,74.0,124.0,,,,100.0,109.0,124.0,,,,56.0,74.0,124.0,,,,1.7857142857142858,1.472972972972973,1.0,,,,1.0,1.0,1.0,,,,1.7857142857142858,1.472972972972973,-1.0,,,,-1.0,-1.0,-1.0,,,,ML,ML,TIE,,,,MovingAverage3M,MovingAverage3M,,,,,SCP,SCP,,,,,copy last year,copy last year,,,,,44.0,32.11009174311927,0.0,,,,0.0,0.0,85.0,0.0,85.0,0.0,85.0,0.0,2409.0,0,,,,,,,,,,,,,,254.0,339.0,0.0,85.0,-254.0,333.0,254.0,37257.0,23988.0,3,111.0,84.66666666666667,111.44056711987785,89.42035562443263,1.311023622047244,1.0,0.3346456692913386,-1.0,ML,MovingAverage3M,SCP,copy last year,23.723723723723715,254.0,339.0,85.0,85.0,-169.0,333.0,339.0,37257.0,26397.0,3,111.0,113.0,111.44056711987785,93.80298502713013,1.311023622047244,1.3346456692913387,0.3346456692913386,-0.6653543307086615,SCP,copy last year,ML,MovingAverage3M,1.7699115044247922,2026-07-17 15:35:55.648,0,,NoForecastRowsMaterialized"
"22744,68,67,10246,1,364,Contra Stock,Producto terminado,EXCELENCIA,""6958"",SOCIEDAD COOPERATIVA GALLEGA DE HOSTELERIA,HistoricAverage,intermittent_acceptable,intermittent_acceptable_acceptable,acceptable,syntetos-boylan,syntetos-boylan,success,intermittent_acceptable,COMPARABLE,1,1,1,24.0,0.0,12.0,0.0,0.0,12.0,0.0,12.0,12.0,12.0,0.0,12.0,5.0,5.0,5.0,6.0,6.0,6.0,-24.0,12.0,0.0,12.0,0.0,0.0,-19.0,5.0,-7.0,6.0,6.0,-6.0,24.0,12.0,0.0,12.0,0.0,0.0,19.0,5.0,7.0,6.0,6.0,6.0,576.0,144.0,0.0,144.0,0.0,0.0,361.0,25.0,49.0,36.0,36.0,36.0,1,0,1,0,0,1,24.0,,0.0,,,0.0,19.0,,7.0,,,6.0,24.0,,0.0,,,0.0,19.0,,7.0,,,6.0,1.0,,0.0,,,0.0,0.7916666666666666,,0.5833333333333334,,,0.5,-1.0,,0.0,,,0.0,-0.7916666666666666,,-0.5833333333333334,,,-0.5,ML,,SCP,,,SCP,HistoricAverage,,syntetos-boylan,,,syntetos-boylan,SCP,,ML,,,ML,syntetos-boylan,,HistoricAverage,,,HistoricAverage,20.833333333333336,,100.0,,,100.0,12.0,24.0,18.0,12.0,6.0,12.0,18.0,144.0,108.0,1,12.0,18.0,12.0,10.392304845413264,1.0,1.5,1.0,0.5,SCP,syntetos-boylan,ML,HistoricAverage,33.33333333333333,36.0,24.0,15.0,-12.0,-21.0,36.0,31.0,720.0,435.0,2,18.0,15.5,18.973665961010276,14.747881203752625,1.0,0.8611111111111112,-0.3333333333333333,-0.5833333333333334,ML,HistoricAverage,SCP,syntetos-boylan,13.888888888888884,48.0,48.0,33.0,0.0,-15.0,48.0,49.0,864.0,543.0,3,16.0,16.333333333333332,16.97056274847714,13.45362404707371,1.0,1.0208333333333333,0.0,-0.3125,SCP,syntetos-boylan,ML,HistoricAverage,2.040816326530605,2026-07-17 15:35:55.648,0,,"
"22745,68,67,10246,1,449,Contra Pedido,Producto terminado,ITLV,""7813"",""BORGES AGRICULTURAL INDUSTRIAL EDIBLE OILS, S.A.U."",HistoricAverage,smooth_acceptable,smooth_acceptable_acceptable,acceptable,copy last year,copy last year,success,smooth_acceptable,COMPARABLE,1,1,1,0.0,12352.0,1408.0,0.0,1408.0,0.0,0.0,1760.0,1408.0,8096.0,8800.0,7392.0,3728.0,3728.0,3728.0,3918.0,4083.0,4821.0,0.0,-10592.0,0.0,8096.0,7392.0,7392.0,3728.0,-8624.0,2320.0,3918.0,2675.0,4821.0,0.0,10592.0,0.0,8096.0,7392.0,7392.0,3728.0,8624.0,2320.0,3918.0,2675.0,4821.0,0.0,112190464,0.0,65545216,54641664,54641664,13897984,74373376,5382400.0,15350724,7155625.0,23242041,0,1,1,0,1,0,,10592.0,0.0,,7392.0,,,8624.0,2320.0,,2675.0,,,10592.0,0.0,,7392.0,,,8624.0,2320.0,,2675.0,,,0.8575129533678757,0.0,,5.25,,,0.6981865284974094,1.6477272727272727,,1.8998579545454546,,,-0.8575129533678757,0.0,,5.25,,,-0.6981865284974094,1.6477272727272727,,1.8998579545454546,,,ML,SCP,,ML,,,HistoricAverage,copy last year,,HistoricAverage,,,SCP,ML,,SCP,,,copy last year,HistoricAverage,,copy last year,,,18.580060422960727,100.0,,63.81222943722944,,1408.0,24288.0,12822.0,22880.0,11414.0,22880.0,11414.0,174828544,45748390,1,22880.0,11414.0,13222.274539579035,6763.755613562631,16.25,8.106534090909092,16.25,8.106534090909092,ML,HistoricAverage,SCP,copy last year,50.11363636363636,13760.0,3168.0,11184.0,-10592.0,-2576.0,10592.0,14672.0,112190464,93653760,2,5296.0,7336.0,7489.675026327911,6843.016878541219,0.7697674418604651,1.0662790697674418,-0.7697674418604651,-0.1872093023255814,SCP,copy last year,ML,HistoricAverage,27.808069792802613,15168.0,27456.0,24006.0,12288.0,8838.0,33472.0,26086.0,287019008,139402150,3,11157.333333333334,8695.333333333334,9781.257724171604,6816.69885892969,2.2067510548523206,1.719804852320675,0.810126582278481,0.5826740506329114,ML,HistoricAverage,SCP,copy last year,22.066204588910136,2026-07-17 15:35:55.648,0,,"
"22746,68,67,10246,1,648,Contra Pedido,Producto terminado,MARKET COLLECTION,""8241"",RVI (RUSSIAN VENTURE INVESTMENTS) JSC,AutoETS,seasonal_discontinuous_acceptable,seasonal_discontinuous_acceptable_acceptable,acceptable,copy last year,copy last year,success,seasonal_discontinuous_acceptable,COMPARABLE,1,1,1,0.0,0.0,0.0,0.0,0.0,598.0,0.0,0.0,0.0,115.0,882.0,0.0,707.0,0.0,1233.0,1227.0,1228.0,1227.0,0.0,0.0,0.0,115.0,882.0,-598.0,707.0,0.0,1233.0,1227.0,1228.0,629.0,0.0,0.0,0.0,115.0,882.0,598.0,707.0,0.0,1233.0,1227.0,1228.0,629.0,0.0,0.0,0.0,13225.0,777924.0,357604.0,499849.0,0.0,1520289.0,1505529.0,1507984.0,395641.0,0,0,0,0,0,1,,,,,,598.0,,,,,,629.0,,,,,,598.0,,,,,,629.0,,,,,,1.0,,,,,,1.0518394648829432,,,,,,-1.0,,,,,,1.0518394648829432,,,,,,SCP,,,,,,copy last year,,,,,,ML,,,,,,AutoETS,,,,,,4.9284578696343475,598.0,997.0,3682.0,399.0,3084.0,1595.0,3084.0,1148753.0,3409154.0,1,1595.0,3084.0,1071.798955028414,1846.3894497098927,2.6672240802675584,5.157190635451505,0.6672240802675585,5.157190635451505,SCP,copy last year,ML,AutoETS,48.28145265888457,0.0,0.0,1940.0,0.0,1940.0,0.0,1940.0,0.0,2020138.0,0,,,,,,,,,,,,,,598.0,997.0,5622.0,399.0,5024.0,1595.0,5024.0,1148753.0,5429292.0,1,1595.0,5024.0,1071.798955028414,2330.0841186532302,2.6672240802675584,8.40133779264214,0.6672240802675585,8.40133779264214,SCP,copy last year,ML,AutoETS,68.25238853503184,2026-07-17 15:35:55.648,0,,NoForecastRowsMaterialized"
"22747,68,67,10246,1,735,Contra Stock,Producto terminado,EXCELENCIA,""6148"",""GADISA RETAIL, S.L.U."",TSB,intermittent_acceptable,intermittent_acceptable_acceptable,acceptable,seasonal discrete,seasonal discrete,success,intermittent_acceptable,COMPARABLE,1,1,1,24.0,12.0,24.0,0.0,0.0,24.0,37.0,20.0,21.0,20.0,3.0,13.0,14.0,13.0,13.0,11.0,10.0,10.0,13.0,8.0,-3.0,20.0,3.0,-11.0,-10.0,1.0,-11.0,11.0,10.0,-14.0,13.0,8.0,3.0,20.0,3.0,11.0,10.0,1.0,11.0,11.0,10.0,14.0,169.0,64.0,9.0,400.0,9.0,121.0,100.0,1.0,121.0,121.0,100.0,196.0,1,1,1,0,0,1,13.0,8.0,3.0,,,11.0,10.0,1.0,11.0,,,14.0,13.0,8.0,3.0,,,11.0,10.0,1.0,11.0,,,14.0,0.5416666666666666,0.6666666666666666,0.125,,,0.4583333333333333,0.4166666666666667,0.08333333333333333,0.4583333333333333,,,0.5833333333333334,0.5416666666666666,0.6666666666666666,-0.125,,,-0.4583333333333333,-0.4166666666666667,0.08333333333333333,-0.4583333333333333,,,-0.5833333333333334,ML,ML,SCP,,,SCP,TSB,TSB,seasonal discrete,,,seasonal discrete,SCP,SCP,ML,,,ML,seasonal discrete,seasonal discrete,TSB,,,TSB,23.076923076923066,87.49999999999999,72.72727272727273,,,21.428571428571434,24.0,36.0,31.0,12.0,7.0,34.0,35.0,530.0,417.0,1,34.0,35.0,23.021728866442675,20.42057785666214,1.4166666666666667,1.4583333333333333,0.5,0.2916666666666667,SCP,seasonal discrete,ML,TSB,2.857142857142847,60.0,78.0,40.0,18.0,-20.0,24.0,22.0,242.0,222.0,3,8.0,7.333333333333333,8.981462390204987,8.602325267042627,0.4,0.36666666666666664,0.3,-0.3333333333333333,ML,TSB,SCP,seasonal discrete,8.333333333333345,84.0,114.0,71.0,30.0,-13.0,58.0,57.0,772.0,639.0,4,14.5,14.25,13.892443989449804,12.639224659764539,0.6904761904761905,0.6785714285714286,0.35714285714285715,-0.15476190476190477,ML,TSB,SCP,seasonal discrete,1.7241379310344764,2026-07-17 15:35:55.648,0,,"
"22748,68,67,10246,1,801,Contra Stock,Aceituna,*BOM 3 5 FNG,""9703"",""GARCIA CATALAN, ANTONIO JOSE"",,,,,copy last year,copy last year,success,,NOT_COMPARABLE_MISSING_SCP_AND_ML,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-17 15:35:55.648,1,MissingHistory,NoForecastRowsMaterialized"
"22749,68,67,10246,1,266,Contra Pedido,Producto terminado,REMA 1000,""457"",HAUGEN-GRUPPEN DENMARK A/S,MovingAverage3M,intermittent_acceptable,intermittent_acceptable_acceptable,acceptable,copy last year,copy last year,success,intermittent_acceptable,COMPARABLE,1,1,1,3235.0,3240.0,540.0,3132.0,5508.0,0.0,6480.0,4644.0,7128.0,1512.0,1404.0,2700.0,1768.0,1768.0,1768.0,2115.0,2115.0,2115.0,3245.0,1404.0,6588.0,-1620.0,-4104.0,2700.0,-1467.0,-1472.0,1228.0,-1017.0,-3393.0,2115.0,3245.0,1404.0,6588.0,1620.0,4104.0,2700.0,1467.0,1472.0,1228.0,1017.0,3393.0,2115.0,10530025,1971216.0,43401744,2624400.0,16842816,7290000.0,2152089.0,2166784.0,1507984.0,1034289.0,11512449,4473225.0,1,1,1,1,1,0,3245.0,1404.0,6588.0,1620.0,4104.0,,1467.0,1472.0,1228.0,1017.0,3393.0,,3245.0,1404.0,6588.0,1620.0,4104.0,,1467.0,1472.0,1228.0,1017.0,3393.0,,1.0030911901081916,0.43333333333333335,12.2,0.5172413793103449,0.7450980392156863,,0.45347758887171563,0.454320987654321,2.274074074074074,0.32471264367816094,0.6160130718954249,,1.0030911901081916,0.43333333333333335,12.2,-0.5172413793103449,-0.7450980392156863,,-0.45347758887171563,-0.454320987654321,2.274074074074074,-0.32471264367816094,-0.6160130718954249,,ML,SCP,ML,ML,ML,,MovingAverage3M,copy last year,MovingAverage3M,MovingAverage3M,MovingAverage3M,,SCP,ML,SCP,SCP,SCP,,copy last year,MovingAverage3M,copy last year,copy last year,copy last year,,54.7919876733436,4.619565217391303,81.36004857316333,37.22222222222222,17.32456140350877,,8640.0,5616.0,6345.0,-3024.0,-2295.0,8424.0,6525.0,26757216,17019963,2,4212.0,3262.5,3657.6779519252377,2917.187258302079,0.975,0.7552083333333334,-0.35,-0.265625,ML,MovingAverage3M,SCP,copy last year,22.54273504273504,7015.0,18252.0,5304.0,11237.0,-1711.0,11237.0,4167.0,55902985,5826857.0,3,3745.6666666666665,1389.0,4316.749741800343,1393.659092700459,1.6018531717747684,0.5940128296507484,1.6018531717747684,-0.24390591589451177,ML,MovingAverage3M,SCP,copy last year,62.91714870517042,15655.0,23868.0,11649.0,8213.0,-4006.0,19661.0,10692.0,82660201,22846820,5,3932.2,2138.4,4065.961165579425,2137.6070733415904,1.255892686042798,0.6829766847652508,0.5246247205365698,-0.2558926860427978,ML,MovingAverage3M,SCP,copy last year,45.61822898123188,2026-07-17 15:35:55.648,0,,"
"22750,68,67,10246,1,37,Contra Pedido,Producto terminado,FONTANA,""6549"",FONTANA FOOD AB,TSB,intermittent_acceptable,intermittent_acceptable_acceptable,acceptable,copy last year,copy last year,success,intermittent_acceptable,COMPARABLE,1,1,1,250.0,0.0,0.0,0.0,350.0,0.0,0.0,180.0,0.0,0.0,0.0,270.0,0.0,70.0,70.0,57.0,56.0,56.0,-250.0,180.0,0.0,0.0,-350.0,270.0,-250.0,70.0,70.0,57.0,-294.0,56.0,250.0,180.0,0.0,0.0,350.0,270.0,250.0,70.0,70.0,57.0,294.0,56.0,62500.0,32400.0,0.0,0.0,122500.0,72900.0,62500.0,4900.0,4900.0,3249.0,86436.0,3136.0,1,0,0,0,1,0,250.0,,,,350.0,,250.0,,,,294.0,,250.0,,,,350.0,,250.0,,,,294.0,,1.0,,,,1.0,,1.0,,,,0.84,,-1.0,,,,-1.0,,-1.0,,,,-0.84,,TIE,,,,ML,,,,,,TSB,,,,,,SCP,,,,,,copy last year,,0.0,,,,16.000000000000004,,350.0,270.0,169.0,-80.0,-181.0,620.0,407.0,195400.0,92821.0,1,620.0,407.0,442.04072210600685,304.6653902234384,1.7714285714285714,1.1628571428571428,-0.22857142857142856,-0.5171428571428571,ML,TSB,SCP,copy last year,34.35483870967742,250.0,180.0,140.0,-70.0,-110.0,430.0,390.0,94900.0,72300.0,1,430.0,390.0,308.05843601498725,268.88659319497503,1.72,1.56,-0.28,-0.44,ML,TSB,SCP,copy last year,9.302325581395344,600.0,450.0,309.0,-150.0,-291.0,1050.0,797.0,290300.0,165121.0,2,525.0,398.5,380.9855640309748,287.3334300077177,1.75,1.3283333333333334,-0.25,-0.485,ML,TSB,SCP,copy last year,24.095238095238095,2026-07-17 15:35:55.648,0,,"
"22751,68,67,10246,1,818,Contra Stock,Producto terminado,EXCELENCIA,""7217"",""ACEITUNAS HERMANOS PEREZ, S.L."",SeasonalNaive,seasonal_discontinuous_acceptable,seasonal_discontinuous_acceptable_acceptable,acceptable,syntetos-boylan,syntetos-boylan,success,seasonal_discontinuous_acceptable,NOT_COMPARABLE_NO_HISTORY,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-17 15:35:55.648,0,,NoForecastRowsMaterialized"
