"ID,""ID_BATCH"",""ID_RUN_STAGING"",""ID_CLIENT"",""SOURCE_RUN_ID"",""ID_CONFIGURATION"",""VALUE_LEVEL_1"",""VALUE_LEVEL_2"",""VALUE_LEVEL_3"",""VALUE_LEVEL_4"",""VALUE_LEVEL_5"",""ML_BEST_MODEL"",""ML_CLASSIFICATION"",""ML_TYPE"",""ML_STATUS"",""SCP_BEST_MODEL"",""SCP_CLASSIFICATION"",""SCP_STATUS"",""SERIES_CLASSIFICATION"",""COMPARISON_STATUS"",""HAS_BASE_CANDIDATE"",""HAS_SCP_CALCULATED"",""HAS_ML_CALCULATED"",""HISTORY_M1"",""HISTORY_M2"",""HISTORY_M3"",""HISTORY_M4"",""HISTORY_M5"",""HISTORY_M6"",""SCP_FORECAST_M1"",""SCP_FORECAST_M2"",""SCP_FORECAST_M3"",""SCP_FORECAST_M4"",""SCP_FORECAST_M5"",""SCP_FORECAST_M6"",""ML_FORECAST_M1"",""ML_FORECAST_M2"",""ML_FORECAST_M3"",""ML_FORECAST_M4"",""ML_FORECAST_M5"",""ML_FORECAST_M6"",""SCP_SIGNED_ERROR_M1"",""SCP_SIGNED_ERROR_M2"",""SCP_SIGNED_ERROR_M3"",""SCP_SIGNED_ERROR_M4"",""SCP_SIGNED_ERROR_M5"",""SCP_SIGNED_ERROR_M6"",""ML_SIGNED_ERROR_M1"",""ML_SIGNED_ERROR_M2"",""ML_SIGNED_ERROR_M3"",""ML_SIGNED_ERROR_M4"",""ML_SIGNED_ERROR_M5"",""ML_SIGNED_ERROR_M6"",""SCP_ABS_ERROR_M1"",""SCP_ABS_ERROR_M2"",""SCP_ABS_ERROR_M3"",""SCP_ABS_ERROR_M4"",""SCP_ABS_ERROR_M5"",""SCP_ABS_ERROR_M6"",""ML_ABS_ERROR_M1"",""ML_ABS_ERROR_M2"",""ML_ABS_ERROR_M3"",""ML_ABS_ERROR_M4"",""ML_ABS_ERROR_M5"",""ML_ABS_ERROR_M6"",""SCP_SQUARED_ERROR_M1"",""SCP_SQUARED_ERROR_M2"",""SCP_SQUARED_ERROR_M3"",""SCP_SQUARED_ERROR_M4"",""SCP_SQUARED_ERROR_M5"",""SCP_SQUARED_ERROR_M6"",""ML_SQUARED_ERROR_M1"",""ML_SQUARED_ERROR_M2"",""ML_SQUARED_ERROR_M3"",""ML_SQUARED_ERROR_M4"",""ML_SQUARED_ERROR_M5"",""ML_SQUARED_ERROR_M6"",""POSITIVE_HISTORY_MONTH_COUNT_M1"",""POSITIVE_HISTORY_MONTH_COUNT_M2"",""POSITIVE_HISTORY_MONTH_COUNT_M3"",""POSITIVE_HISTORY_MONTH_COUNT_M4"",""POSITIVE_HISTORY_MONTH_COUNT_M5"",""POSITIVE_HISTORY_MONTH_COUNT_M6"",""SCP_MAE_M1"",""SCP_MAE_M2"",""SCP_MAE_M3"",""SCP_MAE_M4"",""SCP_MAE_M5"",""SCP_MAE_M6"",""ML_MAE_M1"",""ML_MAE_M2"",""ML_MAE_M3"",""ML_MAE_M4"",""ML_MAE_M5"",""ML_MAE_M6"",""SCP_RMSE_M1"",""SCP_RMSE_M2"",""SCP_RMSE_M3"",""SCP_RMSE_M4"",""SCP_RMSE_M5"",""SCP_RMSE_M6"",""ML_RMSE_M1"",""ML_RMSE_M2"",""ML_RMSE_M3"",""ML_RMSE_M4"",""ML_RMSE_M5"",""ML_RMSE_M6"",""SCP_WAPE_M1"",""SCP_WAPE_M2"",""SCP_WAPE_M3"",""SCP_WAPE_M4"",""SCP_WAPE_M5"",""SCP_WAPE_M6"",""ML_WAPE_M1"",""ML_WAPE_M2"",""ML_WAPE_M3"",""ML_WAPE_M4"",""ML_WAPE_M5"",""ML_WAPE_M6"",""SCP_BIAS_M1"",""SCP_BIAS_M2"",""SCP_BIAS_M3"",""SCP_BIAS_M4"",""SCP_BIAS_M5"",""SCP_BIAS_M6"",""ML_BIAS_M1"",""ML_BIAS_M2"",""ML_BIAS_M3"",""ML_BIAS_M4"",""ML_BIAS_M5"",""ML_BIAS_M6"",""WINNER_METHOD_M1"",""WINNER_METHOD_M2"",""WINNER_METHOD_M3"",""WINNER_METHOD_M4"",""WINNER_METHOD_M5"",""WINNER_METHOD_M6"",""WINNER_MODEL_M1"",""WINNER_MODEL_M2"",""WINNER_MODEL_M3"",""WINNER_MODEL_M4"",""WINNER_MODEL_M5"",""WINNER_MODEL_M6"",""FINALIST_METHOD_M1"",""FINALIST_METHOD_M2"",""FINALIST_METHOD_M3"",""FINALIST_METHOD_M4"",""FINALIST_METHOD_M5"",""FINALIST_METHOD_M6"",""FINALIST_MODEL_M1"",""FINALIST_MODEL_M2"",""FINALIST_MODEL_M3"",""FINALIST_MODEL_M4"",""FINALIST_MODEL_M5"",""FINALIST_MODEL_M6"",""WINNER_IMPROVEMENT_PCT_M1"",""WINNER_IMPROVEMENT_PCT_M2"",""WINNER_IMPROVEMENT_PCT_M3"",""WINNER_IMPROVEMENT_PCT_M4"",""WINNER_IMPROVEMENT_PCT_M5"",""WINNER_IMPROVEMENT_PCT_M6"",""TOTAL_HISTORY_OLDER_3M"",""SCP_TOTAL_FORECAST_OLDER_3M"",""ML_TOTAL_FORECAST_OLDER_3M"",""SCP_TOTAL_SIGNED_ERROR_OLDER_3M"",""ML_TOTAL_SIGNED_ERROR_OLDER_3M"",""SCP_TOTAL_ABS_ERROR_OLDER_3M"",""ML_TOTAL_ABS_ERROR_OLDER_3M"",""SCP_TOTAL_SQUARED_ERROR_OLDER_3M"",""ML_TOTAL_SQUARED_ERROR_OLDER_3M"",""POSITIVE_HISTORY_MONTH_COUNT_OLDER_3M"",""SCP_MAE_OLDER_3M"",""ML_MAE_OLDER_3M"",""SCP_RMSE_OLDER_3M"",""ML_RMSE_OLDER_3M"",""SCP_WAPE_OLDER_3M"",""ML_WAPE_OLDER_3M"",""SCP_BIAS_OLDER_3M"",""ML_BIAS_OLDER_3M"",""WINNER_METHOD_OLDER_3M"",""WINNER_MODEL_OLDER_3M"",""FINALIST_METHOD_OLDER_3M"",""FINALIST_MODEL_OLDER_3M"",""WINNER_IMPROVEMENT_PCT_OLDER_3M"",""TOTAL_HISTORY_RECENT_3M"",""SCP_TOTAL_FORECAST_RECENT_3M"",""ML_TOTAL_FORECAST_RECENT_3M"",""SCP_TOTAL_SIGNED_ERROR_RECENT_3M"",""ML_TOTAL_SIGNED_ERROR_RECENT_3M"",""SCP_TOTAL_ABS_ERROR_RECENT_3M"",""ML_TOTAL_ABS_ERROR_RECENT_3M"",""SCP_TOTAL_SQUARED_ERROR_RECENT_3M"",""ML_TOTAL_SQUARED_ERROR_RECENT_3M"",""POSITIVE_HISTORY_MONTH_COUNT_RECENT_3M"",""SCP_MAE_RECENT_3M"",""ML_MAE_RECENT_3M"",""SCP_RMSE_RECENT_3M"",""ML_RMSE_RECENT_3M"",""SCP_WAPE_RECENT_3M"",""ML_WAPE_RECENT_3M"",""SCP_BIAS_RECENT_3M"",""ML_BIAS_RECENT_3M"",""WINNER_METHOD_RECENT_3M"",""WINNER_MODEL_RECENT_3M"",""FINALIST_METHOD_RECENT_3M"",""FINALIST_MODEL_RECENT_3M"",""WINNER_IMPROVEMENT_PCT_RECENT_3M"",""TOTAL_HISTORY_6M"",""SCP_TOTAL_FORECAST_6M"",""ML_TOTAL_FORECAST_6M"",""SCP_TOTAL_SIGNED_ERROR_6M"",""ML_TOTAL_SIGNED_ERROR_6M"",""SCP_TOTAL_ABS_ERROR_6M"",""ML_TOTAL_ABS_ERROR_6M"",""SCP_TOTAL_SQUARED_ERROR_6M"",""ML_TOTAL_SQUARED_ERROR_6M"",""POSITIVE_HISTORY_MONTH_COUNT_6M"",""SCP_MAE_6M"",""ML_MAE_6M"",""SCP_RMSE_6M"",""ML_RMSE_6M"",""SCP_WAPE_6M"",""ML_WAPE_6M"",""SCP_BIAS_6M"",""ML_BIAS_6M"",""WINNER_METHOD_6M"",""WINNER_MODEL_6M"",""FINALIST_METHOD_6M"",""FINALIST_MODEL_6M"",""WINNER_IMPROVEMENT_PCT_6M"",""COPIED_AT"",""HAS_ML_EXCLUDED"",""ML_EXCLUSION_REASON"",""SCP_NO_OUTPUT_REASON"""
"41882,74,72,10547,1,10,D - ACABADO FABRICADO,NS - NESPOLI FRANCE            2000,""03 - RULOTOS/MINI RODILLOS"",""10 - MINI RODILLOS TERMOFUSION"",""9229"",ADIDA,intermittent_insuficient,intermittent_insuficient_insuficient,insuficient,preserve current forecast,preserve current forecast,success,intermittent_insuficient,NOT_COMPARABLE_MISSING_SCP,1,0,1,0.0,0.0,672.0,0.0,0.0,0.0,,,,,,,0.0,0.0,126.0,672.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-18 18:53:04.975,0,,NoForecastRowsMaterialized"
"41883,74,72,10547,1,28,D - ACABADO FABRICADO,AN - PROMOCIONES CARREFOUR ESPAÑA,""05 - LOTES/KITS PINTOR"",""01 - KITS-LOTES PARA PINTAR"",""8963"",MovingAverage3M,smooth_insuficient,smooth_insuficient_insuficient,insuficient,x11 lineal,x11 lineal,success,smooth_insuficient,COMPARABLE,1,1,1,96.0,72.0,66.0,60.0,48.0,132.0,53.0,41.0,52.0,116.0,53.0,115.0,72.0,73.0,72.0,77.0,77.0,77.0,-43.0,-31.0,-14.0,56.0,5.0,-17.0,-24.0,1.0,6.0,17.0,29.0,-55.0,43.0,31.0,14.0,56.0,5.0,17.0,24.0,1.0,6.0,17.0,29.0,55.0,1849.0,961.0,196.0,3136.0,25.0,289.0,576.0,1.0,36.0,289.0,841.0,3025.0,1,1,1,1,1,1,43.0,31.0,14.0,56.0,5.0,17.0,24.0,1.0,6.0,17.0,29.0,55.0,43.0,31.0,14.0,56.0,5.0,17.0,24.0,1.0,6.0,17.0,29.0,55.0,0.4479166666666667,0.4305555555555556,0.21212121212121213,0.9333333333333333,0.10416666666666667,0.12878787878787878,0.25,0.013888888888888888,0.09090909090909091,0.2833333333333333,0.6041666666666666,0.4166666666666667,-0.4479166666666667,-0.4305555555555556,-0.21212121212121213,0.9333333333333333,0.10416666666666667,-0.12878787878787878,-0.25,0.013888888888888888,0.09090909090909091,0.2833333333333333,0.6041666666666666,-0.4166666666666667,ML,ML,ML,ML,SCP,SCP,MovingAverage3M,MovingAverage3M,MovingAverage3M,MovingAverage3M,x11 lineal,x11 lineal,SCP,SCP,SCP,SCP,ML,ML,x11 lineal,x11 lineal,x11 lineal,x11 lineal,MovingAverage3M,MovingAverage3M,44.18604651162791,96.7741935483871,57.14285714285714,69.64285714285714,82.75862068965517,69.0909090909091,240.0,284.0,231.0,44.0,-9.0,78.0,101.0,3450.0,4155.0,3,26.0,33.666666666666664,33.91164991562634,37.21558813185679,0.325,0.42083333333333334,0.18333333333333332,-0.0375,SCP,x11 lineal,ML,MovingAverage3M,22.77227722772277,234.0,146.0,217.0,-88.0,-17.0,88.0,31.0,3006.0,613.0,3,29.333333333333332,10.333333333333334,31.654383582688826,14.294521094927712,0.37606837606837606,0.13247863247863248,-0.37606837606837606,-0.07264957264957266,ML,MovingAverage3M,SCP,x11 lineal,64.77272727272727,474.0,430.0,448.0,-44.0,-26.0,166.0,132.0,6456.0,4768.0,6,27.666666666666668,22.0,32.802438933713454,28.189832682487964,0.350210970464135,0.27848101265822783,-0.09282700421940929,-0.05485232067510549,ML,MovingAverage3M,SCP,x11 lineal,20.48192771084338,2026-07-18 18:53:04.975,0,,"
"41884,74,72,10547,1,35,D - ACABADO FABRICADO,SY - MAXEDA-SENCYS HOLAND      2000,""02 - RODILLOS"",""20 - MANGOS CON VARILLA ACERO"",""16884"",SeasonalNaive,intermittent_insuficient,intermittent_insuficient_insuficient,insuficient,seasonal discrete,seasonal discrete,success,intermittent_insuficient,COMPARABLE,1,1,1,480.0,0.0,1440.0,0.0,960.0,480.0,0.0,480.0,480.0,481.0,480.0,0.0,0.0,480.0,480.0,481.0,480.0,0.0,-480.0,480.0,-960.0,481.0,-480.0,-480.0,-480.0,480.0,-960.0,481.0,-480.0,-480.0,480.0,480.0,960.0,481.0,480.0,480.0,480.0,480.0,960.0,481.0,480.0,480.0,230400.0,230400.0,921600.0,231361.0,230400.0,230400.0,230400.0,230400.0,921600.0,231361.0,230400.0,230400.0,1,0,1,0,1,1,480.0,,960.0,,480.0,480.0,480.0,,960.0,,480.0,480.0,480.0,,960.0,,480.0,480.0,480.0,,960.0,,480.0,480.0,1.0,,0.6666666666666666,,0.5,1.0,1.0,,0.6666666666666666,,0.5,1.0,-1.0,,-0.6666666666666666,,-0.5,-1.0,-1.0,,-0.6666666666666666,,-0.5,-1.0,TIE,,TIE,,TIE,TIE,,,,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,0.0,1440.0,961.0,961.0,-479.0,-479.0,1441.0,1441.0,692161.0,692161.0,2,720.5,720.5,588.2860698673733,588.2860698673733,1.0006944444444446,1.0006944444444446,-0.3326388888888889,-0.3326388888888889,TIE,,,,0.0,1920.0,960.0,960.0,-960.0,-960.0,1920.0,1920.0,1382400.0,1382400.0,2,960.0,960.0,831.3843876330611,831.3843876330611,1.0,1.0,-0.5,-0.5,TIE,,,,0.0,3360.0,1921.0,1921.0,-1439.0,-1439.0,3361.0,3361.0,2074561.0,2074561.0,4,840.25,840.25,720.1668209519236,720.1668209519236,1.0002976190476192,1.0002976190476192,-0.4282738095238095,-0.4282738095238095,TIE,,,,0.0,2026-07-18 18:53:04.975,0,,"
"41885,74,72,10547,1,37,D - ACABADO FABRICADO,X0 - EXPAINT-PINTURAS ISAVAL   2023,""03 - RULOTOS/MINI RODILLOS"",""16 - MANGOS MINIS Y RULOTOS"",""9981"",MovingAverage3M,intermittent_recentRelease,intermittent_recentRelease_recentRelease,recentRelease,syntetos-boylan,syntetos-boylan,success,intermittent_recentRelease,NOT_COMPARABLE_NO_HISTORY,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,312.0,312.0,312.0,312.0,312.0,312.0,0.0,0.0,0.0,152.0,152.0,152.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-18 18:53:04.975,0,,"
"41886,74,72,10547,1,64,D - ACABADO FABRICADO,EM - EMUCRIL-PINTURAS ANDALUC. 2019,""03 - RULOTOS/MINI RODILLOS"",""51 - RULOTOS -MIDIS- TERMOFUSION"",""4144"",SeasonalNaive,erratic_insuficient,erratic_insuficient_insuficient,insuficient,seasonal discrete,seasonal discrete,success,erratic_insuficient,COMPARABLE,1,1,1,0.0,132.0,0.0,552.0,1098.0,0.0,438.0,282.0,143.0,172.0,144.0,206.0,0.0,120.0,66.0,130.0,130.0,130.0,438.0,150.0,143.0,-380.0,-954.0,206.0,0.0,-12.0,66.0,-422.0,-968.0,130.0,438.0,150.0,143.0,380.0,954.0,206.0,0.0,12.0,66.0,422.0,968.0,130.0,191844.0,22500.0,20449.0,144400.0,910116.0,42436.0,0.0,144.0,4356.0,178084.0,937024.0,16900.0,0,1,0,1,1,0,,150.0,,380.0,954.0,,,12.0,,422.0,968.0,,,150.0,,380.0,954.0,,,12.0,,422.0,968.0,,,1.1363636363636365,,0.6884057971014492,0.8688524590163934,,,0.09090909090909091,,0.7644927536231884,0.8816029143897997,,,1.1363636363636365,,-0.6884057971014492,-0.8688524590163934,,,-0.09090909090909091,,-0.7644927536231884,-0.8816029143897997,,,ML,,SCP,SCP,,,SeasonalNaive,,seasonal discrete,seasonal discrete,,,SCP,,ML,ML,,,seasonal discrete,,SeasonalNaive,SeasonalNaive,,,92.0,,9.952606635071092,1.446280991735543,,1650.0,522.0,390.0,-1128.0,-1260.0,1540.0,1520.0,1096952.0,1132008.0,2,770.0,760.0,740.5916553675177,752.332373356351,0.9333333333333333,0.9212121212121213,-0.6836363636363636,-0.7636363636363637,ML,SeasonalNaive,SCP,seasonal discrete,1.2987012987012951,132.0,863.0,186.0,731.0,54.0,731.0,78.0,234793.0,4500.0,1,731.0,78.0,484.55443450658873,67.08203932499369,5.537878787878788,0.5909090909090909,5.537878787878788,0.4090909090909091,ML,SeasonalNaive,SCP,seasonal discrete,89.3296853625171,1782.0,1385.0,576.0,-397.0,-1206.0,2271.0,1598.0,1331745.0,1136508.0,3,757.0,532.6666666666666,666.2694650064642,615.4965475126567,1.2744107744107744,0.8967452300785634,-0.22278338945005613,-0.6767676767676768,ML,SeasonalNaive,SCP,seasonal discrete,29.634522236900047,2026-07-18 18:53:04.975,0,,"
"41887,74,72,10547,1,51,C - SEMIELABORADOS FABRICADOS,-,""03 - RULOTOS/MINI RODILLOS"",""60 - SEMI ELABORADOS RULOTOS.MIDIS-"",""19579"",,,,,preserve current forecast,preserve current forecast,success,,NOT_COMPARABLE_MISSING_SCP_AND_ML,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-18 18:53:04.975,1,MissingHistory,NoForecastRowsMaterialized"
"41888,74,72,10547,1,29,D - ACABADO FABRICADO,EM - EMUCRIL-PINTURAS ANDALUC. 2019,""04 - ACCESORIOS PINTOR"",""06 - BANDEJAS Y FUNDAS"",""11459"",SeasonalNaive,erratic_insuficient,erratic_insuficient_insuficient,insuficient,x11 seasonal,x11 seasonal,success,erratic_insuficient,COMPARABLE,1,1,1,150.0,155.0,0.0,531.0,820.0,5.0,316.0,89.0,304.0,0.0,80.0,97.0,16.0,35.0,150.0,0.0,204.0,100.0,166.0,-66.0,304.0,-531.0,-740.0,92.0,-134.0,-120.0,150.0,-531.0,-616.0,95.0,166.0,66.0,304.0,531.0,740.0,92.0,134.0,120.0,150.0,531.0,616.0,95.0,27556.0,4356.0,92416.0,281961.0,547600.0,8464.0,17956.0,14400.0,22500.0,281961.0,379456.0,9025.0,1,1,0,1,1,1,166.0,66.0,,531.0,740.0,92.0,134.0,120.0,,531.0,616.0,95.0,166.0,66.0,,531.0,740.0,92.0,134.0,120.0,,531.0,616.0,95.0,1.1066666666666667,0.4258064516129032,,1.0,0.9024390243902439,18.4,0.8933333333333333,0.7741935483870968,,1.0,0.751219512195122,19.0,1.1066666666666667,-0.4258064516129032,,-1.0,-0.9024390243902439,18.4,-0.8933333333333333,-0.7741935483870968,,-1.0,-0.751219512195122,19.0,ML,SCP,,TIE,ML,SCP,SeasonalNaive,x11 seasonal,,,SeasonalNaive,x11 seasonal,SCP,ML,,,SCP,ML,x11 seasonal,SeasonalNaive,,,x11 seasonal,SeasonalNaive,19.277108433734945,45.0,,0.0,16.756756756756758,3.157894736842113,1356.0,177.0,304.0,-1179.0,-1052.0,1363.0,1242.0,838025.0,670442.0,3,454.3333333333333,414.0,528.5278296047112,472.73741830604723,1.0051622418879056,0.915929203539823,-0.8694690265486725,-0.775811209439528,ML,SeasonalNaive,SCP,x11 seasonal,8.877476155539252,305.0,709.0,201.0,404.0,-104.0,536.0,404.0,124328.0,54856.0,2,268.0,202.0,249.32709439609647,165.61400906928134,1.7573770491803278,1.3245901639344262,1.3245901639344262,-0.34098360655737703,ML,SeasonalNaive,SCP,x11 seasonal,24.62686567164179,1661.0,886.0,505.0,-775.0,-1156.0,1899.0,1646.0,962353.0,725298.0,5,379.8,329.2,438.71471368077,380.86690588708285,1.1432871763997592,0.9909692956050572,-0.46658639373871164,-0.6959662853702588,ML,SeasonalNaive,SCP,x11 seasonal,13.322801474460242,2026-07-18 18:53:04.975,0,,"
"41889,74,72,10547,1,60,D - ACABADO FABRICADO,AA - NESPOLI CATALOGO IBERICA  2021,""10 - HERRAM.PINTOR/YESERO/EMPAPELAD"",""02 - ESPATULAS EMPLASTECER"",""224"",HistoricAverage,smooth_insuficient,smooth_insuficient_insuficient,insuficient,x11 lineal,x11 lineal,success,smooth_insuficient,COMPARABLE,1,1,1,180.0,64.0,258.0,312.0,138.0,12.0,171.0,134.0,106.0,84.0,110.0,95.0,116.0,116.0,116.0,112.0,112.0,113.0,-9.0,70.0,-152.0,-228.0,-28.0,83.0,-64.0,52.0,-142.0,-200.0,-26.0,101.0,9.0,70.0,152.0,228.0,28.0,83.0,64.0,52.0,142.0,200.0,26.0,101.0,81.0,4900.0,23104.0,51984.0,784.0,6889.0,4096.0,2704.0,20164.0,40000.0,676.0,10201.0,1,1,1,1,1,1,9.0,70.0,152.0,228.0,28.0,83.0,64.0,52.0,142.0,200.0,26.0,101.0,9.0,70.0,152.0,228.0,28.0,83.0,64.0,52.0,142.0,200.0,26.0,101.0,0.05,1.09375,0.5891472868217055,0.7307692307692307,0.2028985507246377,6.916666666666667,0.35555555555555557,0.8125,0.5503875968992248,0.6410256410256411,0.18840579710144928,8.416666666666666,-0.05,1.09375,-0.5891472868217055,-0.7307692307692307,-0.2028985507246377,6.916666666666667,-0.35555555555555557,0.8125,-0.5503875968992248,-0.6410256410256411,-0.18840579710144928,8.416666666666666,SCP,ML,ML,ML,ML,SCP,x11 lineal,HistoricAverage,HistoricAverage,HistoricAverage,HistoricAverage,x11 lineal,ML,SCP,SCP,SCP,SCP,ML,HistoricAverage,x11 lineal,x11 lineal,x11 lineal,x11 lineal,HistoricAverage,85.9375,25.71428571428571,6.578947368421064,12.280701754385952,7.142857142857147,17.821782178217813,462.0,289.0,337.0,-173.0,-125.0,339.0,327.0,59657.0,50877.0,3,113.0,109.0,141.01654749236582,130.22672536772166,0.7337662337662337,0.7077922077922078,-0.37445887445887444,-0.27056277056277056,ML,HistoricAverage,SCP,x11 lineal,3.539823008849559,502.0,411.0,348.0,-91.0,-154.0,231.0,258.0,28085.0,26964.0,3,77.0,86.0,96.75570611941534,94.80506315593065,0.4601593625498008,0.5139442231075697,-0.18127490039840638,-0.30677290836653387,SCP,x11 lineal,ML,HistoricAverage,10.46511627906977,964.0,700.0,685.0,-264.0,-279.0,570.0,585.0,87742.0,77841.0,6,95.0,97.5,120.92835344395733,113.90127303941779,0.5912863070539419,0.6068464730290456,-0.27385892116182575,-0.2894190871369295,SCP,x11 lineal,ML,HistoricAverage,2.5641025641025554,2026-07-18 18:53:04.975,0,,"
"41890,74,72,10547,1,43,E - ACABADO DE COMPRA,AA - NESPOLI CATALOGO IBERICA  2021,""04 - ACCESORIOS PINTOR"",""02 - ABRASIVOS Y PULIDORES"",""7734"",MovingAverage3M,intermittent_acceptable,intermittent_acceptable_acceptable,acceptable,syntetos-boylan,syntetos-boylan,success,intermittent_acceptable,COMPARABLE,1,1,1,0.0,0.0,50.0,0.0,0.0,50.0,50.0,50.0,50.0,50.0,0.0,50.0,16.0,17.0,17.0,26.0,27.0,27.0,50.0,50.0,0.0,50.0,0.0,0.0,16.0,17.0,-33.0,26.0,27.0,-23.0,50.0,50.0,0.0,50.0,0.0,0.0,16.0,17.0,33.0,26.0,27.0,23.0,2500.0,2500.0,0.0,2500.0,0.0,0.0,256.0,289.0,1089.0,676.0,729.0,529.0,0,0,1,0,0,1,,,0.0,,,0.0,,,33.0,,,23.0,,,0.0,,,0.0,,,33.0,,,23.0,,,0.0,,,0.0,,,0.66,,,0.46,,,0.0,,,0.0,,,-0.66,,,-0.46,,,SCP,,,SCP,,,syntetos-boylan,,,syntetos-boylan,,,ML,,,ML,,,MovingAverage3M,,,MovingAverage3M,,,100.0,,,100.0,50.0,100.0,80.0,50.0,30.0,50.0,76.0,2500.0,1934.0,1,50.0,76.0,50.0,43.977266854592045,1.0,1.52,1.0,0.6,SCP,syntetos-boylan,ML,MovingAverage3M,34.21052631578947,50.0,150.0,50.0,100.0,0.0,100.0,66.0,5000.0,1634.0,1,100.0,66.0,70.71067811865476,40.422765862815474,2.0,1.32,2.0,0.0,ML,MovingAverage3M,SCP,syntetos-boylan,34.0,100.0,250.0,130.0,150.0,30.0,150.0,142.0,7500.0,3568.0,2,75.0,71.0,61.237243569579455,42.23742416388575,1.5,1.42,1.5,0.3,ML,MovingAverage3M,SCP,syntetos-boylan,5.3333333333333375,2026-07-18 18:53:04.975,0,,"
"41891,74,72,10547,1,18,D - ACABADO FABRICADO,T1 - TKROM ANADECO GESTION     2020,""03 - RULOTOS/MINI RODILLOS"",""16 - MANGOS MINIS Y RULOTOS"",""20016"",MovingAverage3M,smooth_insuficient,smooth_insuficient_insuficient,insuficient,x11 lineal,x11 lineal,success,smooth_insuficient,COMPARABLE,1,1,1,1884.0,936.0,1476.0,2070.0,996.0,708.0,1735.0,914.0,1652.0,1041.0,967.0,1571.0,1258.0,1258.0,1258.0,1066.0,1078.0,1090.0,-149.0,-22.0,176.0,-1029.0,-29.0,863.0,-626.0,322.0,-218.0,-1004.0,82.0,382.0,149.0,22.0,176.0,1029.0,29.0,863.0,626.0,322.0,218.0,1004.0,82.0,382.0,22201.0,484.0,30976.0,1058841.0,841.0,744769.0,391876.0,103684.0,47524.0,1008016.0,6724.0,145924.0,1,1,1,1,1,1,149.0,22.0,176.0,1029.0,29.0,863.0,626.0,322.0,218.0,1004.0,82.0,382.0,149.0,22.0,176.0,1029.0,29.0,863.0,626.0,322.0,218.0,1004.0,82.0,382.0,0.07908704883227176,0.023504273504273504,0.11924119241192412,0.4971014492753623,0.029116465863453816,1.2189265536723164,0.3322717622080679,0.344017094017094,0.14769647696476965,0.485024154589372,0.0823293172690763,0.53954802259887,-0.07908704883227176,-0.023504273504273504,0.11924119241192412,-0.4971014492753623,-0.029116465863453816,1.2189265536723164,-0.3322717622080679,0.344017094017094,-0.14769647696476965,-0.485024154589372,0.0823293172690763,0.53954802259887,SCP,SCP,SCP,ML,SCP,ML,x11 lineal,x11 lineal,x11 lineal,MovingAverage3M,x11 lineal,MovingAverage3M,ML,ML,ML,SCP,ML,SCP,MovingAverage3M,MovingAverage3M,MovingAverage3M,x11 lineal,MovingAverage3M,x11 lineal,76.19808306709265,93.16770186335403,19.26605504587156,2.4295432458697763,64.63414634146342,55.73580533024334,3774.0,3579.0,3234.0,-195.0,-540.0,1921.0,1468.0,1804451.0,1160664.0,3,640.3333333333334,489.3333333333333,775.5537806410763,622.0032154257725,0.509009009009009,0.38897721250662426,-0.051669316375198726,-0.14308426073131955,ML,MovingAverage3M,SCP,x11 lineal,23.581467985424265,4296.0,4301.0,3774.0,5.0,-522.0,347.0,1166.0,53661.0,543084.0,3,115.66666666666667,388.6666666666667,133.74228949737625,425.4738534857342,0.08077281191806332,0.271415270018622,0.0011638733705772813,-0.12150837988826815,SCP,x11 lineal,ML,MovingAverage3M,70.2401372212693,8070.0,7880.0,7008.0,-190.0,-1062.0,2268.0,2634.0,1858112.0,1703748.0,6,378.0,439.0,556.4937855298416,532.8770965241422,0.2810408921933085,0.32639405204460964,-0.023543990086741014,-0.1315985130111524,SCP,x11 lineal,ML,MovingAverage3M,13.895216400911165,2026-07-18 18:53:04.975,0,,"
