"ID,""ID_BATCH"",""ID_RUN_STAGING"",""ID_CLIENT"",""SOURCE_RUN_ID"",""ID_CONFIGURATION"",""VALUE_LEVEL_1"",""VALUE_LEVEL_2"",""VALUE_LEVEL_3"",""VALUE_LEVEL_4"",""VALUE_LEVEL_5"",""ML_BEST_MODEL"",""ML_CLASSIFICATION"",""ML_TYPE"",""ML_STATUS"",""SCP_BEST_MODEL"",""SCP_CLASSIFICATION"",""SCP_STATUS"",""SERIES_CLASSIFICATION"",""COMPARISON_STATUS"",""HAS_BASE_CANDIDATE"",""HAS_SCP_CALCULATED"",""HAS_ML_CALCULATED"",""HISTORY_M1"",""HISTORY_M2"",""HISTORY_M3"",""HISTORY_M4"",""HISTORY_M5"",""HISTORY_M6"",""SCP_FORECAST_M1"",""SCP_FORECAST_M2"",""SCP_FORECAST_M3"",""SCP_FORECAST_M4"",""SCP_FORECAST_M5"",""SCP_FORECAST_M6"",""ML_FORECAST_M1"",""ML_FORECAST_M2"",""ML_FORECAST_M3"",""ML_FORECAST_M4"",""ML_FORECAST_M5"",""ML_FORECAST_M6"",""SCP_SIGNED_ERROR_M1"",""SCP_SIGNED_ERROR_M2"",""SCP_SIGNED_ERROR_M3"",""SCP_SIGNED_ERROR_M4"",""SCP_SIGNED_ERROR_M5"",""SCP_SIGNED_ERROR_M6"",""ML_SIGNED_ERROR_M1"",""ML_SIGNED_ERROR_M2"",""ML_SIGNED_ERROR_M3"",""ML_SIGNED_ERROR_M4"",""ML_SIGNED_ERROR_M5"",""ML_SIGNED_ERROR_M6"",""SCP_ABS_ERROR_M1"",""SCP_ABS_ERROR_M2"",""SCP_ABS_ERROR_M3"",""SCP_ABS_ERROR_M4"",""SCP_ABS_ERROR_M5"",""SCP_ABS_ERROR_M6"",""ML_ABS_ERROR_M1"",""ML_ABS_ERROR_M2"",""ML_ABS_ERROR_M3"",""ML_ABS_ERROR_M4"",""ML_ABS_ERROR_M5"",""ML_ABS_ERROR_M6"",""SCP_SQUARED_ERROR_M1"",""SCP_SQUARED_ERROR_M2"",""SCP_SQUARED_ERROR_M3"",""SCP_SQUARED_ERROR_M4"",""SCP_SQUARED_ERROR_M5"",""SCP_SQUARED_ERROR_M6"",""ML_SQUARED_ERROR_M1"",""ML_SQUARED_ERROR_M2"",""ML_SQUARED_ERROR_M3"",""ML_SQUARED_ERROR_M4"",""ML_SQUARED_ERROR_M5"",""ML_SQUARED_ERROR_M6"",""POSITIVE_HISTORY_MONTH_COUNT_M1"",""POSITIVE_HISTORY_MONTH_COUNT_M2"",""POSITIVE_HISTORY_MONTH_COUNT_M3"",""POSITIVE_HISTORY_MONTH_COUNT_M4"",""POSITIVE_HISTORY_MONTH_COUNT_M5"",""POSITIVE_HISTORY_MONTH_COUNT_M6"",""SCP_MAE_M1"",""SCP_MAE_M2"",""SCP_MAE_M3"",""SCP_MAE_M4"",""SCP_MAE_M5"",""SCP_MAE_M6"",""ML_MAE_M1"",""ML_MAE_M2"",""ML_MAE_M3"",""ML_MAE_M4"",""ML_MAE_M5"",""ML_MAE_M6"",""SCP_RMSE_M1"",""SCP_RMSE_M2"",""SCP_RMSE_M3"",""SCP_RMSE_M4"",""SCP_RMSE_M5"",""SCP_RMSE_M6"",""ML_RMSE_M1"",""ML_RMSE_M2"",""ML_RMSE_M3"",""ML_RMSE_M4"",""ML_RMSE_M5"",""ML_RMSE_M6"",""SCP_WAPE_M1"",""SCP_WAPE_M2"",""SCP_WAPE_M3"",""SCP_WAPE_M4"",""SCP_WAPE_M5"",""SCP_WAPE_M6"",""ML_WAPE_M1"",""ML_WAPE_M2"",""ML_WAPE_M3"",""ML_WAPE_M4"",""ML_WAPE_M5"",""ML_WAPE_M6"",""SCP_BIAS_M1"",""SCP_BIAS_M2"",""SCP_BIAS_M3"",""SCP_BIAS_M4"",""SCP_BIAS_M5"",""SCP_BIAS_M6"",""ML_BIAS_M1"",""ML_BIAS_M2"",""ML_BIAS_M3"",""ML_BIAS_M4"",""ML_BIAS_M5"",""ML_BIAS_M6"",""WINNER_METHOD_M1"",""WINNER_METHOD_M2"",""WINNER_METHOD_M3"",""WINNER_METHOD_M4"",""WINNER_METHOD_M5"",""WINNER_METHOD_M6"",""WINNER_MODEL_M1"",""WINNER_MODEL_M2"",""WINNER_MODEL_M3"",""WINNER_MODEL_M4"",""WINNER_MODEL_M5"",""WINNER_MODEL_M6"",""FINALIST_METHOD_M1"",""FINALIST_METHOD_M2"",""FINALIST_METHOD_M3"",""FINALIST_METHOD_M4"",""FINALIST_METHOD_M5"",""FINALIST_METHOD_M6"",""FINALIST_MODEL_M1"",""FINALIST_MODEL_M2"",""FINALIST_MODEL_M3"",""FINALIST_MODEL_M4"",""FINALIST_MODEL_M5"",""FINALIST_MODEL_M6"",""WINNER_IMPROVEMENT_PCT_M1"",""WINNER_IMPROVEMENT_PCT_M2"",""WINNER_IMPROVEMENT_PCT_M3"",""WINNER_IMPROVEMENT_PCT_M4"",""WINNER_IMPROVEMENT_PCT_M5"",""WINNER_IMPROVEMENT_PCT_M6"",""TOTAL_HISTORY_OLDER_3M"",""SCP_TOTAL_FORECAST_OLDER_3M"",""ML_TOTAL_FORECAST_OLDER_3M"",""SCP_TOTAL_SIGNED_ERROR_OLDER_3M"",""ML_TOTAL_SIGNED_ERROR_OLDER_3M"",""SCP_TOTAL_ABS_ERROR_OLDER_3M"",""ML_TOTAL_ABS_ERROR_OLDER_3M"",""SCP_TOTAL_SQUARED_ERROR_OLDER_3M"",""ML_TOTAL_SQUARED_ERROR_OLDER_3M"",""POSITIVE_HISTORY_MONTH_COUNT_OLDER_3M"",""SCP_MAE_OLDER_3M"",""ML_MAE_OLDER_3M"",""SCP_RMSE_OLDER_3M"",""ML_RMSE_OLDER_3M"",""SCP_WAPE_OLDER_3M"",""ML_WAPE_OLDER_3M"",""SCP_BIAS_OLDER_3M"",""ML_BIAS_OLDER_3M"",""WINNER_METHOD_OLDER_3M"",""WINNER_MODEL_OLDER_3M"",""FINALIST_METHOD_OLDER_3M"",""FINALIST_MODEL_OLDER_3M"",""WINNER_IMPROVEMENT_PCT_OLDER_3M"",""TOTAL_HISTORY_RECENT_3M"",""SCP_TOTAL_FORECAST_RECENT_3M"",""ML_TOTAL_FORECAST_RECENT_3M"",""SCP_TOTAL_SIGNED_ERROR_RECENT_3M"",""ML_TOTAL_SIGNED_ERROR_RECENT_3M"",""SCP_TOTAL_ABS_ERROR_RECENT_3M"",""ML_TOTAL_ABS_ERROR_RECENT_3M"",""SCP_TOTAL_SQUARED_ERROR_RECENT_3M"",""ML_TOTAL_SQUARED_ERROR_RECENT_3M"",""POSITIVE_HISTORY_MONTH_COUNT_RECENT_3M"",""SCP_MAE_RECENT_3M"",""ML_MAE_RECENT_3M"",""SCP_RMSE_RECENT_3M"",""ML_RMSE_RECENT_3M"",""SCP_WAPE_RECENT_3M"",""ML_WAPE_RECENT_3M"",""SCP_BIAS_RECENT_3M"",""ML_BIAS_RECENT_3M"",""WINNER_METHOD_RECENT_3M"",""WINNER_MODEL_RECENT_3M"",""FINALIST_METHOD_RECENT_3M"",""FINALIST_MODEL_RECENT_3M"",""WINNER_IMPROVEMENT_PCT_RECENT_3M"",""TOTAL_HISTORY_6M"",""SCP_TOTAL_FORECAST_6M"",""ML_TOTAL_FORECAST_6M"",""SCP_TOTAL_SIGNED_ERROR_6M"",""ML_TOTAL_SIGNED_ERROR_6M"",""SCP_TOTAL_ABS_ERROR_6M"",""ML_TOTAL_ABS_ERROR_6M"",""SCP_TOTAL_SQUARED_ERROR_6M"",""ML_TOTAL_SQUARED_ERROR_6M"",""POSITIVE_HISTORY_MONTH_COUNT_6M"",""SCP_MAE_6M"",""ML_MAE_6M"",""SCP_RMSE_6M"",""ML_RMSE_6M"",""SCP_WAPE_6M"",""ML_WAPE_6M"",""SCP_BIAS_6M"",""ML_BIAS_6M"",""WINNER_METHOD_6M"",""WINNER_MODEL_6M"",""FINALIST_METHOD_6M"",""FINALIST_MODEL_6M"",""WINNER_IMPROVEMENT_PCT_6M"",""COPIED_AT"",""HAS_ML_EXCLUDED"",""ML_EXCLUSION_REASON"",""SCP_NO_OUTPUT_REASON"""
"83969,75,74,10660,1,68,CLINICAL,""245"",Retail,Vaguada,Spain,MovingAverage3M,intermittent_insuficient,intermittent_insuficient_insuficient,insuficient,seasonal discrete,seasonal discrete,success,intermittent_insuficient,NOT_COMPARABLE_NO_HISTORY,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-20 00:21:39.362,0,,"
"83970,75,74,10660,1,104,TREATMENT,""831"",OTROS,R&D,"""",,,,,preserve current forecast,preserve current forecast,success,,NOT_COMPARABLE_MISSING_SCP_AND_ML,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-20 00:21:39.362,1,MissingHistory,NoForecastRowsMaterialized"
"83971,75,74,10660,1,23,TREATMENT,""481"",Retail,Rambla,Spain,HistoricAverage,smooth_insuficient,smooth_insuficient_insuficient,insuficient,seasonal discrete,seasonal discrete,success,smooth_insuficient,COMPARABLE,1,1,1,0.0,0.0,2.0,5.0,3.0,4.0,2.0,0.0,1.0,3.0,2.0,0.0,3.0,0.0,2.0,1.0,3.0,0.0,2.0,0.0,-1.0,-2.0,-1.0,-4.0,3.0,0.0,0.0,-4.0,0.0,-4.0,2.0,0.0,1.0,2.0,1.0,4.0,3.0,0.0,0.0,4.0,0.0,4.0,4.0,0.0,1.0,4.0,1.0,16.0,9.0,0.0,0.0,16.0,0.0,16.0,0,0,1,1,1,1,,,1.0,2.0,1.0,4.0,,,0.0,4.0,0.0,4.0,,,1.0,2.0,1.0,4.0,,,0.0,4.0,0.0,4.0,,,0.5,0.4,0.3333333333333333,1.0,,,0.0,0.8,0.0,1.0,,,-0.5,-0.4,-0.3333333333333333,-1.0,,,0.0,-0.8,0.0,-1.0,,,ML,SCP,ML,TIE,,,HistoricAverage,seasonal discrete,HistoricAverage,,,,SCP,ML,SCP,,,,seasonal discrete,HistoricAverage,seasonal discrete,,,,100.0,50.0,100.0,0.0,12.0,5.0,4.0,-7.0,-8.0,7.0,8.0,21.0,32.0,3,2.3333333333333335,2.6666666666666665,2.6457513110645907,3.265986323710904,0.5833333333333334,0.6666666666666666,-0.5833333333333334,-0.6666666666666666,SCP,seasonal discrete,ML,HistoricAverage,12.49999999999999,2.0,3.0,5.0,1.0,3.0,3.0,3.0,5.0,9.0,1,3.0,3.0,2.23606797749979,3.0,1.5,1.5,0.5,1.5,TIE,,,,0.0,14.0,8.0,9.0,-6.0,-5.0,10.0,11.0,26.0,41.0,4,2.5,2.75,2.5495097567963922,3.2015621187164243,0.7142857142857143,0.7857142857142857,-0.42857142857142855,-0.35714285714285715,SCP,seasonal discrete,ML,HistoricAverage,9.090909090909086,2026-07-20 00:21:39.362,0,,"
"83972,75,74,10660,1,193,CLINICAL,""434"",B2B,Estructura Wholesale,"""",HistoricAverage,lumpy_insuficient,lumpy_insuficient_insuficient,insuficient,syntetos-boylan,syntetos-boylan,success,lumpy_insuficient,COMPARABLE,1,1,1,0.0,6.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.8903867675186736,1.8302394665661625,10.28891375799356,4.0,2.0,3.0,5.0,6.0,5.0,0.0,-2.0,0.0,0.8903867675186736,1.8302394665661625,10.28891375799356,4.0,-4.0,3.0,5.0,6.0,5.0,0.0,2.0,0.0,0.8903867675186736,1.8302394665661625,10.28891375799356,4.0,4.0,3.0,5.0,6.0,5.0,0.0,4.0,0.0,0.7927885957723526,3.3497765049763912,105.86174631942917,16.0,16.0,9.0,25.0,36.0,25.0,0,1,0,0,0,0,,2.0,,,,,,4.0,,,,,,2.0,,,,,,4.0,,,,,,0.3333333333333333,,,,,,0.6666666666666666,,,,,,-0.3333333333333333,,,,,,-0.6666666666666666,,,,,,SCP,,,,,,syntetos-boylan,,,,,,ML,,,,,,HistoricAverage,,,,,,50.0,,,,,0.0,13.009539992078397,16.0,13.009539992078397,16.0,13.009539992078397,16.0,110.00431142017791,86.0,0,,,,,,,,,,,,,,6.0,4.0,9.0,-2.0,3.0,2.0,11.0,4.0,41.0,1,2.0,11.0,2.0,6.4031242374328485,0.3333333333333333,1.8333333333333333,-0.3333333333333333,0.5,SCP,syntetos-boylan,ML,HistoricAverage,81.81818181818183,6.0,17.009539992078395,25.0,11.009539992078397,19.0,15.009539992078397,27.0,114.00431142017791,127.0,1,15.009539992078397,27.0,10.677280150870722,11.269427669584644,2.5015899986797328,4.5,1.834923332013066,3.1666666666666665,SCP,syntetos-boylan,ML,HistoricAverage,44.409111140450385,2026-07-20 00:21:39.362,0,,"
"83973,75,74,10660,1,211,RIZOS,""674"",Retail,Pop Up,Spain,HistoricAverage,intermittent_newRelease,intermittent_newRelease_newRelease,newRelease,syntetos-boylan,syntetos-boylan,success,intermittent_newRelease,COMPARABLE,1,1,1,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,0.0,1.0,2.0,2.0,-3.0,0.0,0.0,0.0,1.0,2.0,-3.0,1.0,0.0,1.0,2.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,0.0,1.0,4.0,4.0,9.0,0.0,0.0,0.0,1.0,4.0,9.0,0,0,0,0,0,1,,,,,,3.0,,,,,,3.0,,,,,,3.0,,,,,,3.0,,,,,,0.6,,,,,,0.6,,,,,,-0.6,,,,,,-0.6,,,,,,TIE,,,,,,,,,,,,,,,,,,,,,,,,0.0,5.0,6.0,5.0,1.0,0.0,7.0,6.0,17.0,14.0,1,7.0,6.0,4.123105625617661,3.7416573867739413,1.4,1.2,0.2,0.0,ML,HistoricAverage,SCP,syntetos-boylan,14.285714285714283,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,0,,,,,,,,,,,,,,5.0,8.0,5.0,3.0,0.0,9.0,6.0,19.0,14.0,1,9.0,6.0,4.358898943540674,3.7416573867739413,1.8,1.2,0.6,0.0,ML,HistoricAverage,SCP,syntetos-boylan,33.333333333333336,2026-07-20 00:21:39.362,0,,"
"83974,75,74,10660,1,261,CNMU,""456"",B2B,Privalia,Spain,,,,,preserve current forecast,preserve current forecast,success,,NOT_COMPARABLE_MISSING_SCP_AND_ML,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-20 00:21:39.362,1,MissingHistory,NoForecastRowsMaterialized"
"83975,75,74,10660,1,66,RIZOS,""672"","""","""","""",ADIDA,lumpy_insuficient,lumpy_insuficient_insuficient,insuficient,seasonal discrete,seasonal discrete,success,lumpy_insuficient,COMPARABLE,1,1,1,4.0,5.0,16.0,0.0,0.0,30.0,2.0,0.0,7.0,12.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,4.0,-2.0,-5.0,-9.0,12.0,0.0,-30.0,-4.0,-5.0,-15.0,8.0,0.0,-26.0,2.0,5.0,9.0,12.0,0.0,30.0,4.0,5.0,15.0,8.0,0.0,26.0,4.0,25.0,81.0,144.0,0.0,900.0,16.0,25.0,225.0,64.0,0.0,676.0,1,1,1,0,0,1,2.0,5.0,9.0,,,30.0,4.0,5.0,15.0,,,26.0,2.0,5.0,9.0,,,30.0,4.0,5.0,15.0,,,26.0,0.5,1.0,0.5625,,,1.0,1.0,1.0,0.9375,,,0.8666666666666667,-0.5,-1.0,-0.5625,,,-1.0,-1.0,-1.0,-0.9375,,,-0.8666666666666667,SCP,TIE,SCP,,,ML,seasonal discrete,,seasonal discrete,,,ADIDA,ML,,ML,,,SCP,ADIDA,,ADIDA,,,seasonal discrete,50.0,0.0,40.0,,,13.33333333333333,30.0,12.0,12.0,-18.0,-18.0,42.0,34.0,1044.0,740.0,1,42.0,34.0,32.31098884280702,27.202941017470888,1.4,1.1333333333333333,-0.6,-0.6,ML,ADIDA,SCP,seasonal discrete,19.047619047619044,25.0,9.0,1.0,-16.0,-24.0,16.0,24.0,110.0,266.0,3,5.333333333333333,8.0,6.0553007081949835,9.41629792788369,0.64,0.96,-0.64,-0.96,SCP,seasonal discrete,ML,ADIDA,33.33333333333333,55.0,21.0,13.0,-34.0,-42.0,58.0,58.0,1154.0,1006.0,4,14.5,14.5,16.98528775146303,15.858751527153705,1.0545454545454545,1.0545454545454545,-0.6181818181818182,-0.7636363636363637,TIE,,,,0.0,2026-07-20 00:21:39.362,0,,"
"83976,75,74,10660,1,411,CORPORAL,""329"",Marketplace,SP,Spain,HistoricAverage,intermittent_recentRelease,intermittent_recentRelease_recentRelease,recentRelease,average,average,success,intermittent_recentRelease,COMPARABLE,1,1,1,3.0,1.0,13.0,3.0,1.0,1.0,1.0,2.0,0.0,4.0,0.0,0.0,2.0,1.0,2.0,2.0,1.0,2.0,-2.0,1.0,-13.0,1.0,-1.0,-1.0,-1.0,0.0,-11.0,-1.0,0.0,1.0,2.0,1.0,13.0,1.0,1.0,1.0,1.0,0.0,11.0,1.0,0.0,1.0,4.0,1.0,169.0,1.0,1.0,1.0,1.0,0.0,121.0,1.0,0.0,1.0,1,1,1,1,1,1,2.0,1.0,13.0,1.0,1.0,1.0,1.0,0.0,11.0,1.0,0.0,1.0,2.0,1.0,13.0,1.0,1.0,1.0,1.0,0.0,11.0,1.0,0.0,1.0,0.6666666666666666,1.0,1.0,0.3333333333333333,1.0,1.0,0.3333333333333333,0.0,0.8461538461538461,0.3333333333333333,0.0,1.0,-0.6666666666666666,1.0,-1.0,0.3333333333333333,-1.0,-1.0,-0.3333333333333333,0.0,-0.8461538461538461,-0.3333333333333333,0.0,1.0,ML,ML,ML,TIE,ML,TIE,HistoricAverage,HistoricAverage,HistoricAverage,,HistoricAverage,,SCP,SCP,SCP,,SCP,,average,average,average,,average,,50.0,100.0,15.384615384615385,0.0,100.0,0.0,5.0,4.0,5.0,-1.0,0.0,3.0,2.0,3.0,2.0,3,1.0,0.6666666666666666,1.0,0.816496580927726,0.6,0.4,-0.2,0.0,ML,HistoricAverage,SCP,average,33.33333333333333,17.0,3.0,5.0,-14.0,-12.0,16.0,12.0,174.0,122.0,3,5.333333333333333,4.0,7.615773105863909,6.377042156569663,0.9411764705882353,0.7058823529411765,-0.8235294117647058,-0.7058823529411765,ML,HistoricAverage,SCP,average,24.999999999999993,22.0,7.0,10.0,-15.0,-12.0,19.0,14.0,177.0,124.0,6,3.1666666666666665,2.3333333333333335,5.431390245600108,4.546060565661952,0.8636363636363636,0.6363636363636364,-0.6818181818181818,-0.5454545454545454,ML,HistoricAverage,SCP,average,26.315789473684216,2026-07-20 00:21:39.362,0,,"
"83977,75,74,10660,1,366,CORPORAL,""873"",Retail,Rambla,Spain,AutoTheta,erratic_insuficient,erratic_insuficient_insuficient,insuficient,x11 seasonal,x11 seasonal,success,erratic_insuficient,COMPARABLE,1,1,1,22.0,19.0,21.0,10.0,12.0,3.0,31.0,34.0,13.0,23.0,15.0,14.0,10.0,10.0,10.0,23.0,6.0,6.0,9.0,15.0,-8.0,13.0,3.0,11.0,-12.0,-9.0,-11.0,13.0,-6.0,3.0,9.0,15.0,8.0,13.0,3.0,11.0,12.0,9.0,11.0,13.0,6.0,3.0,81.0,225.0,64.0,169.0,9.0,121.0,144.0,81.0,121.0,169.0,36.0,9.0,1,1,1,1,1,1,9.0,15.0,8.0,13.0,3.0,11.0,12.0,9.0,11.0,13.0,6.0,3.0,9.0,15.0,8.0,13.0,3.0,11.0,12.0,9.0,11.0,13.0,6.0,3.0,0.4090909090909091,0.7894736842105263,0.38095238095238093,1.3,0.25,3.6666666666666665,0.5454545454545454,0.47368421052631576,0.5238095238095238,1.3,0.5,1.0,0.4090909090909091,0.7894736842105263,-0.38095238095238093,1.3,0.25,3.6666666666666665,-0.5454545454545454,-0.47368421052631576,-0.5238095238095238,1.3,-0.5,1.0,SCP,ML,SCP,TIE,SCP,ML,x11 seasonal,AutoTheta,x11 seasonal,,x11 seasonal,AutoTheta,ML,SCP,ML,,ML,SCP,AutoTheta,x11 seasonal,AutoTheta,,AutoTheta,x11 seasonal,24.99999999999999,40.0,27.27272727272728,0.0,50.0,72.72727272727273,25.0,52.0,35.0,27.0,10.0,27.0,22.0,299.0,214.0,3,9.0,7.333333333333333,9.983319421247959,8.445906306213285,1.08,0.88,1.08,0.4,ML,AutoTheta,SCP,x11 seasonal,18.518518518518523,62.0,78.0,30.0,16.0,-32.0,32.0,32.0,370.0,346.0,3,10.666666666666666,10.666666666666666,11.105554165971787,10.739335795724674,0.5161290322580645,0.5161290322580645,0.25806451612903225,-0.5161290322580645,TIE,,,,0.0,87.0,130.0,65.0,43.0,-22.0,59.0,54.0,669.0,560.0,6,9.833333333333334,9.0,10.559356040971437,9.66091783079296,0.6781609195402298,0.6206896551724138,0.4942528735632184,-0.25287356321839083,ML,AutoTheta,SCP,x11 seasonal,8.47457627118643,2026-07-20 00:21:39.362,0,,"
"83978,75,74,10660,1,39,"""",""1478"",OTROS,Production,"""",,,,,preserve current forecast,preserve current forecast,success,,NOT_COMPARABLE_MISSING_SCP_AND_ML,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-20 00:21:39.362,1,MissingHistory,NoForecastRowsMaterialized"
